siren,nom,chef de l'exécutif,parti politique,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode
2.13101181E8,Castelnau-d'Estrétefonds,Daniel Dupuy,,COM,OCC-76,https://data.laregion.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Commune+de+Castelnau-d%27Estr%C3%A9tefonds,0,,,,Commune de Castelnau-d'Estrétefonds,6334,43.782510,1.359089,ptf,31.0
213400575,Castelnau-le-Lez,Jean-Pierre Grand,Union pour un mouvement populaire,COM,OCC-76,http://data.montpellier3m.fr/datasets/commune/castelnau-le-lez,32,,,,,19886,43.636014,3.900681,ptf,34
,,,Rassemblement pour la République,,,,,,,,,,,,,
,,,Les Républicains,,,,,,,,,,,,,
,,,République solidaire,,,,,,,,,,,,,
211100763,Castelnaudary,Patrick Maugard,,COM,OCC-76,,,https://www.data.gouv.fr/fr/organizations/58d2805b88ee3830ab40dd02,12,58d2805b88ee3830ab40dd02,,11563,43.317984,1.952734,datagouv,11
213400583,Castries,Claudine Vassas Mejri,,COM,OCC-76,http://data.montpellier3m.fr/datasets/commune/castries,26,,,,,6162,43.678515,3.980702,ptf,34
2.13101355E8,Cazères,Michel Oliva,,COM,OCC-76,https://data.laregion.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Commune+de+Caz%C3%A8res-sur-Garonne,2,,,,Commune de Cazères-sur-Garonne,4864,43.205679,1.086509,ptf,31.0
217700673,Cesson,Olivier Chaplet,,COM,IDF-11,https://data.ville-cesson.fr/explore/?refine.publisher=Commune+de+Cesson,1,,,,Commune de Cesson,10033,48.562500,2.602680,ptf,77
213500515,Cesson-Sévigné,Jean-Pierre Savignac,,COM,BRE-53,https://data.rennesmetropole.fr/explore/?refine.publisher=Ville+de+Cesson-S%C3%A9vign%C3%A9,11,,,,Ville de Cesson-Sévigné,18095,48.120504,-1.604140,ptf,35
215101015,Châlons-en-Champagne,Benoist Apparu,Union pour un mouvement populaire,COM,GES-44,,,https://www.data.gouv.fr/fr/organizations/5badf0508b4c412b0839e0f4/,1,5badf0508b4c412b0839e0f4,,45268,48.956400,4.364200,datagouv,51
,,,Rassemblement pour la République,,,,,,,,,,,,,
217300656,Chambéry,Michel Dantin,Union pour un mouvement populaire,COM,ARA-84,https://donnees.grandchambery.fr/explore/?refine.publisher=Ville+de+Chamb%C3%A9ry,13,,,,Ville de Chambéry,59697,45.566100,5.919780,ptf,73
,,,Rassemblement pour la République,,,,,,,,,,,,,
216900407,Champagne-au-Mont-d'Or,Véronique Gazan,,COM,ARA-84,https://data.grandlyon.com/recherche?responsibleParty.organisationName=Ville%20de%20Champagne-au-Mont-d%27Or,6,,,,,5526,45.795491,4.789458,ptf,69
217700798,Champagne-sur-Seine,Michel Gonord,,COM,IDF-11,,,https://www.data.gouv.fr/fr/organizations/5846e4ae88ee3811d6c65bb3/,9,5846e4ae88ee3811d6c65bb3,,6179,48.397326,2.800055,datagouv,77
216902718,Chassieu,Jean-Jacques Sellès,,COM,ARA-84,https://data.grandlyon.com/recherche?responsibleParty.organisationName=Ville%20de%20Chassieu,10,,,,,10323,45.744480,4.965418,ptf,69
200064483,Châteaugiron,,,COM,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5dc1b1c08b4c41677012618b/,1,5dc1b1c08b4c41677012618b,,9966,48.042376,-1.500912,datagouv,35
213600448,Châteauroux,Gil Avérous,,COM,CVL-24,https://data.chateauroux-metropole.fr/explore/?sort=title&refine.publisher=VILLE+DE+CHATEAUROUX,10,,,,VILLE DE CHATEAUROUX,43732,46.811700,1.692060,ptf,36
217801463,Chatou,Éric Dumoulin,,COM,IDF-11,,,https://www.data.gouv.fr/fr/organizations/5c9e2bfb634f41255724d4ca/,1,5c9e2bfb634f41255724d4ca,,31058,48.890100,2.155820,datagouv,78
219200227,Chaville,Jean-Jacques Guillet,Union pour un mouvement populaire,COM,IDF-11,https://chaville-seineouest.opendatasoft.com/explore/?sort=title,0,https://www.data.gouv.fr/fr/organizations/5437e8c288ee387cb68f5e87,11,5437e8c288ee387cb68f5e87,,20520,48.809900,2.188290,ptf+datagouv,92
,,Jean-Jacques Guillet,Union pour un mouvement populaire,,,,,,,,,,,,,
216001446,Chelles,,,COM,IDF-11,https://chelles-agglo-pvm.opendata.arcgis.com,4,,,,,54917,48.878380,2.590549,ptf,77
214400400,Chéméré,,,COM,PDL-52,https://data.loire-atlantique.fr/explore/?refine.publisher=Ville+de+Chéméré,4,,,,Ville de Chéméré,2123,47.977334,-0.441579,ptf,44
219400199,Chennevières-sur-Marne,Jean-Pierre Barnaud,,COM,IDF-11,"https://chennevieres.data4citizen.com/portail?facet.field=[%22organization%22,%22tags%22,%22theme%22,%22features%22]&rows=10&start=0&fq=organization:(chennevieres)",5,,,,,18365,48.797768,2.533055,ptf,94
213400773,Clapiers,Éric Penso,,COM,OCC-76,http://data.montpellier3m.fr/datasets/commune/clapiers,36,,,,,5527,43.656820,3.887375,ptf,34
218300424,Cogolin,Marc-Étienne Lansade,Rassemblement national,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/5bac7fb68b4c414fe45d8cee/,3,5bac7fb68b4c414fe45d8cee,,12387,43.251900,6.529400,datagouv,83
213101496,Colomiers,Eugène Montel,Section française de l'Internationale ouvrière,COM,OCC-76,https://data.toulouse-metropole.fr/explore/?refine.publisher=Mairie+de+Colomiers,1,,,,Mairie de Colomiers,39266,43.612602,1.335509,ptf,31
,,Alex Raymond,Section française de l'Internationale ouvrière,,,,,,,,,,,,,
,,,Parti socialiste,,,,,,,,,,,,,
2.17701226E8,Combs-la-Ville,Guy Geoffroy,Union pour un mouvement populaire,COM,IDF-11,https://combslaville-grandparissud.opendatasoft.com/explore/?refine.publisher=Mairie+de+Combs-la-Ville,11,,,,Mairie de Combs-la-Ville,22154,48.664600,2.564400,ptf,77.0
,,Guy Geoffroy,Union pour un mouvement populaire,,,,,,,,,,,,,
215901521,Comines,Eric Vanstaen,,COM,HDF-32,,,https://www.data.gouv.fr/fr/organizations/593fb6b788ee3810680f7775,4,593fb6b788ee3810680f7775,,12491,50.760794,3.007073,datagouv,59
217801729,CONFLANS SAINT HONORINE,,,COM,IDF-11,https://data.ville-conflans.fr/login/,0,,,,,35846,48.993879,2.094977,ptf,78
2.17701317E8,Coulommiers,Laurence Picard,,COM,IDF-11,,,https://www.data.gouv.fr/fr/organizations/534fff6ba3a7292c64a77da2,26,534fff6ba3a7292c64a77da2,,15476,48.814839,3.083069,datagouv,77.0
2.17001817E8,Courcuire,,,COM,BFC-27,https://www.databfc.fr/bfc/portail,1,https://www.data.gouv.fr/fr/organizations/5c937c53634f414c0c84251d/,1,5c937c53634f414c0c84251d,,136,47.341700,5.822900,ptf+datagouv,70.0
213400872,Cournonsec,Régine Illaire,,COM,OCC-76,http://data.montpellier3m.fr/datasets/commune/cournonsec,23,,,,,3262,43.548387,3.703853,ptf,34
213400880,Cournonterral,William Ars,,COM,OCC-76,http://data.montpellier3m.fr/datasets/commune/cournonterral,29,,,,,5844,43.557287,3.718809,ptf,34
217701390,Courtry,Xavier Vanderbise,,COM,IDF-11,https://courtry-agglo-pvm.opendata.arcgis.com/search?collection=Dataset,4,https://www.data.gouv.fr/fr/organizations/5ee8ce78f450050a4fa6a1d3/,0,5ee8ce78f450050a4fa6a1d3,,6492,48.915800,2.602480,ptf+datagouv,77
213101579,Cugnaux,Albert Sanchez,,COM,OCC-76,,,https://www.data.gouv.fr/fr/organizations/58d27ed688ee383022f3994b/,1,58d27ed688ee383022f3994b,,17600,43.537116,1.342645,datagouv,31
2.17602176E8,Dieppe,Sébastien Jumel,Parti communiste français,COM,HDF-32,https://opendata.adico.fr/fr/dataset?organization=commune-de-dieppe,9,,,,,29080,49.924618,1.079144,ptf,76.0
210400701,Digne-les-Bains,Patricia Granet,divers gauche,COM,PAC-93,https://trouver.datasud.fr/organization/ville-de-digne-les-bains,100,,,,,17075,44.092343,6.235322,ptf,04
211701404,Dolus-d'Oléron,Thibault Brechkoff,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5c8a2eaa8b4c412414de233d/,1,5c8a2eaa8b4c412414de233d,,3270,45.911000,-1.261720,datagouv,17
218801413,Dombrot-sur-Vair,Christophe Vouillon,,COM,GES-44,,,https://www.data.gouv.fr/fr/organizations/5d3708eb634f411ba1f2be68/,2,5d3708eb634f411ba1f2be68,,253,48.265182,5.888463,datagouv,88
218801561,Doncières,Xavier Richard,,COM,GES-44,,,https://www.data.gouv.fr/fr/organizations/5e32a7e86f4441203195aaa3/,4,5e32a7e86f4441203195aaa3,,137,48.394070,6.635632,datagouv,88
214400525,Donges,François Cheneau,,COM,PDL-52,https://data.agglo-carene.fr/explore/?refine.publisher=Donges,3,,,,Donges,7699,47.322700,-2.076810,ptf,44
218300507,Draguignan,Richard Strambio,,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/5bfd0fce634f416c97b0b0a9/,1,5bfd0fce634f416c97b0b0a9,,40278,43.538000,6.463510,datagouv,83
212801344,Dreux,Gérard Hamel,Union pour un mouvement populaire,COM,CVL-24,,,https://www.data.gouv.fr/fr/organizations/5a82b75a88ee3827fadf1afb/,1,5a82b75a88ee3827fadf1afb,,30836,48.736225,1.365471,datagouv,28
,,,Rassemblement pour la République,,,,,,,,,,,,,
2.13801517E8,Échirolles,Renzo Sulli,,COM,ARA-84,https://data.metropolegrenoble.fr/ckan/dataset?organization=ville-d-echirolles,3,https://www.data.gouv.fr/fr/organizations/5e296fbc6f44414102ba0b85/,3,5e296fbc6f44414102ba0b85,,36227,45.143700,5.719270,ptf+datagouv,38.0
2.16800789E8,Eguisheim,Claude Centlivre,,COM,GES-44,,,https://www.data.gouv.fr/fr/organizations/5c6ac6e58b4c417067851df5/,1,5c6ac6e58b4c417067851df5,,1734,48.042600,7.305700,datagouv,68.0
217701697,Émerainville,Alain Kelyor,,COM,IDF-11,https://emerainville-agglo-pvm.opendata.arcgis.com/,1,,,,,7720,48.811581,2.621292,ptf,77
215901968,Ennetières-en-Weppes,Jean-Claude Flinois,,COM,HDF-32,https://opendata.lillemetropole.fr/explore/?&refine.publisher=commune+Enneti%C3%A8res+en+Weppes,6,,,,commune Ennetières en Weppes,1302,50.634255,2.940735,ptf,59
216402222,Etchebar,Claude Recalt,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5ef5cd7ae1f79fd615a5b369/,2,5ef5cd7ae1f79fd615a5b369,,73,43.082849,-0.893093,datagouv,64
219102258,Étiolles,Philippe Jumelle,,COM,IDF-11,https://etiolles-grandparissud.opendatasoft.com/explore/?sort=modified,0,,,,,3164,48.638067,2.477527,ptf,91
210600599,Èze,Stéphane Cherki,,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/5c388d5a8b4c415b415729d7/,1,5c388d5a8b4c415b415729d7,,2343,43.727000,7.360060,datagouv,06
213400955,Fabrègues,Jacques Martinier,,COM,OCC-76,http://data.montpellier3m.fr/datasets/commune/fabr%C3%A8gues,28,,,,,6860,44.949330,2.463360,ptf,34
210700886,Faugères,Michel Di Vuolo,,COM,ARA-84,,,https://www.data.gouv.fr/fr/organizations/57ad996ac751df5e2c97bae5/,5,57ad996ac751df5e2c97bae5,,110,44.730763,4.265219,datagouv,07
214400574,Fégréac,Jérôme Ricordel,,COM,PDL-52,,,https://www.data.gouv.fr/fr/organizations/5bb35a75634f410c19c29451/,1,5bb35a75634f410c19c29451,,2440,47.583900,-2.045660,datagouv,44
215600586,Férel,Nicolas Rivalan,,COM,BRE-53,https://capatlantique-loireatlantique.opendatasoft.com/explore/?refine.publisher=Férel,1,,,,Férel,3151,47.482100,-2.344790,ptf,56
2.14200958E8,Firminy,Julien Luya,,COM,ARA-84,,,https://www.data.gouv.fr/fr/organizations/5d15b4d8634f4151ec5b1550/,1,5d15b4d8634f4151ec5b1550,,14082,45.387700,4.286890,datagouv,42.0
2.11402714E8,Fleury-sur-Orne,Marc Lecerf,,COM,NOR-28,https://data.fleurysurorne.fr/explore/?refine.publisher=Ville+de+Fleury-sur-Orne,43,,,,Ville de Fleury-sur-Orne,4660,49.146078,-0.376572,ptf,14.0
213101843,Flourens,Jean-Pierre Fouchou-Lapeyrade,,COM,OCC-76,https://data.toulouse-metropole.fr/explore/?refine.publisher=Mairie+de+Flourens,1,,,,Mairie de Flourens,1930,43.595145,1.562612,ptf,31
