"nom","type","nb_publi","ouvre_data","pop_insee","CSP_chef","age_chef","part_plus65","nb_crea_entps","flux_migration_res","part_diplomes","depenses_hab"
"CA du Pays Voironnais","CA",0,0,95787,"Retraités salariés privés",73,19.7,1048,200040715,11.9,997.780184576195
"CA du Saint-Quentinois","CA",523,1,83579,"Agents généraux d'assurances",56,20.6,595,240200493,5.4,1153.00685854102
"CA du Val de Fensch","CA",12,1,71065,"Fonctionnaires de catégorie A",63,20.3,482,245701362,3.5,649.869418841905
"CA Épernay,Coteaux et Plaine de Champagne","CA",0,0,49677,"Avocats",58,21.3,289,200067213,5.1,881.427436439398
"CA Evreux Portes de Normandie","CA",1,1,116242,"Médecins",58,17.3,1052,200023414,6.7,1293.10237693777
"CA Flers Agglo","CA",0,0,56064,"Fonctionnaires de catégorie A",61,24.7,285,200065597,3.9,783.001295305365
"CA Grand Belfort","CA",40,1,107435,"Cadres supérieurs (secteur privé)",56,18.7,1076,200065647,10.3,850.215057848932
"CA Grand Châtellerault","CA",0,0,86819,"Retraités des entreprises publiques",70,23.5,629,200069854,4.7,801.258815927389
"CA Grand Lac","CA",0,0,75951,"Permanents politiques",61,21.7,1133,200069110,10.1,1013.19544601124
"CA Grand Montauban","CA",0,0,79428,"Avocats",68,20.4,1059,243100518,7.5,963.552706224505
"CA Haut - Bugey Agglomération","CA",0,0,65393,"Représentants de commerce",57,18.2,564,200071751,4.3,775.085464805101
"CA Hérault-Méditerranée","CA",3,1,79041,"Permanents politiques",53,27.2,1062,243400017,5.4,1246.90159550107
"CA Intercommunale de la Réunion Est (CIREST)","CA",0,0,128017,"Autres professions libérales",77,9.8,956,249740119,3,431.617290437989
"CA Lannion-Trégor Communauté","CA",8,1,103730,"Retraités salariés privés",74,29.1,696,200067981,9.3,1060.79053909187
"CA Le Grand Narbonne","CA",0,0,130164,"Retr.artis.commerc.chefs d'entrep.",68,26,1537,200035863,6.2,978.651110061154
"CA Lisieux Normandie","CA",19,1,76969,"Fonctionnaires de catégorie A",60,22.4,591,200065597,4.3,530.304831815406
"CA Lorient Agglomération","CA",109,1,207857,"Professeurs du secondaire et techn.",74,23.3,1772,243500139,6.8,1044.65484833323
"CA Mâconnais Beaujolais Agglomération","CA",1,1,79539,"Retraités fonct.publique (sf enseig.)",70,21.6,768,200046977,7.5,538.439515332101
"CA Maubeuge Val de Sambre","CA",0,0,127193,"Permanents politiques",38,17.7,722,200043263,3.2,816.865105941365
"CA Melun Val de Seine","CA",0,0,133094,"Professeurs de faculté",66,14.8,2005,200054781,9.1,428.260242535351
"CA Montluçon Communauté","CA",0,0,64249,"Retraités fonct.publique (sf enseig.)",74,27.1,415,246300701,4.7,922.639007455369
"CA Moulins Communauté","CA",8,1,67887,"Ingénieurs",74,24.1,399,246300701,5.3,515.098614462268
"CA Pau Béarn Pyrénées","CA",37,1,166399,"Retraités de l'enseignement",70,22.2,1960,200067296,12.9,975.135127554853
"CA Pays d'Issoire","CA",0,0,57403,"Retraités des professions libérales",72,22.2,468,246300701,5.2,688.711211086529
"CA Provence-Alpes-Agglomération","CA",3,1,48951,"Médecins",61,24.9,431,200054807,6.2,705.708595738596
"CA Quimperlé Communauté","CA",0,0,57117,"Permanents politiques",38,23.9,375,200042174,4.8,790.885900519985
"CA Rodez Agglomération","CA",2,1,58526,"Retraités des entreprises publiques",68,21.6,622,243100518,8.1,1232.58468219253
"CA Saint-Avold Synergie","CA",0,0,54561,"Fonctionnaires de catégorie B",65,20.2,410,245700133,4.1,516.339502391818
"CA Saint-Germain Boucles de Seine","CA",0,0,341615,"Grands corps de l'état",58,16.7,5651,200054781,26.2,136.177747756978
"CA Saumur Val de Loire","CA",0,0,103473,"Retraités de l'enseignement",73,22.7,703,244900015,4.8,655.102356170209
"CA Tarbes-Lourdes-Pyrénées","CA",0,0,126088,"Autres retraités",76,24.8,1347,243100518,6.5,547.858544032739
"CA Territoire de la Côte Ouest (TCO)","CA",0,0,216765,"Retraités fonct.publique (sf enseig.)",78,10.7,2328,249740119,6.2,914.836553179711
"CA Troyes Champagne Métropole","CA",0,0,174658,"Avocats",56,19.6,1821,200054781,6.7,771.436986167253
"CA Val d'Yerres Val de Seine","CA",0,0,179331,"Autres professions libérales",50,16,2514,200054781,11.6,396.212571390334
"CA Valenciennes Métropole","CA",6,1,194673,"Autres cadres (secteur privé)",55,16.8,1699,200042190,6.5,718.540637787469
"CA Versailles Grand Parc (C.A.V.G.P.)","CA",39,1,270042,"Grands corps de l'état",61,17.8,4201,200054781,29.8,228.031801386451
"CC Alpes d'Azur","CC",0,0,9802,"Industriels-Chefs entreprise",65,26.7,115,200030195,5.6,1372.240005101
"CC Berry Loire Puisaye","CC",0,0,18960,"Retraités salariés privés",69,26.6,101,244500211,3.7,433.314646097046
"CC Bresse et Saône","CC",0,0,25831,"Employés (secteur privé)",62,19.9,210,200070308,4,533.35736053579
"CC Châteaubriant-Derval","CC",0,0,45779,"Notaires",61,20.4,289,244400404,3.7,473.135417331091
"CC Cœur Côte Fleurie","CC",47,1,21555,"Retr.artis.commerc.chefs d'entrep.",71,35.8,311,241400878,7.7,1012.02568731153
"CC Cœur de l'Avesnois","CC",0,0,30997,"Retraités fonct.publique (sf enseig.)",73,20.1,176,200043396,4.1,352.956947769139
"CC Cœur de Savoie","CC",0,0,37381,"Retraités fonct.publique (sf enseig.)",56,18.4,385,200069110,7.5,526.503027741366
"CC Côte d'Émeraude","CC",0,0,31767,"Retraités salariés privés",69,33.2,366,200068989,9.3,475.201082884755
"CC de Bayeux Intercom","CC",0,0,30840,"Agents immobiliers",61,25.1,247,200066801,6.4,1144.13668774319
"CC de Freyming-Merlebach","CC",0,0,32757,"Pharmaciens",74,21.7,252,245700372,3.2,485.464597490613
"CC de Grand Lieu","CC",0,0,39210,"Autres professions libérales",47,14.4,342,244400404,6.1,465.077928079572
"CC de l'Aire Cantilienne","CC",0,0,46079,"Permanents politiques",65,20.6,598,200054781,17.8,294.888946808741
"CC de l'Estuaire","CC",0,0,16077,"Retraités de l'enseignement",70,21.1,141,200023794,2.8,1176.56864340362
"CC de l'Ouest Guyanais","CC",0,0,93674,"Professeurs du secondaire et techn.",70,2.6,188,249730045,3.4,191.895724534022
"CC de l'Oust à Brocéliande","CC",0,0,40135,"Cadres supérieurs (secteur privé)",66,22.1,251,200066777,4.4,562.557302852872
"CC de la Haute-Saintonge","CC",0,0,70100,"Retraités de l'enseignement",85,26.8,619,200036473,3.4,415.264949643367
"CC de la Haute Vallée de Chevreuse","CC",0,0,25738,"Ingénieurs",77,21.5,336,200058782,26.7,162.084476260782
"CC de Sablé-sur-Sarthe","CC",0,0,29858,"Permanents politiques",53,20,139,247200132,3.8,791.641708754773
"CC des Coteaux et Landes de Gascogne","CC",0,0,12733,"Agriculteurs propriétaires exploit.",68,30.6,104,200030674,3.5,425.03423545119
"CC des Deux Vallées","CC",0,0,23515,"Retraités salariés privés",68,18.8,141,200067965,4,333.241544546034
"CC des Monts du Pilat","CC",0,0,15549,"Sans profession déclarée",37,22.3,124,244200770,7.2,473.150850858576
"CC des Paysages de la Champagne","CC",0,0,22125,"Enseignants 1er deg.-directeurs école",62,20.9,141,200067684,3.8,638.722495367232
"CC Domfront Tinchebray Interco","CC",0,0,16530,"Autres professions",48,26,92,200035814,3.3,805.368639443436
"CC du Gâtinais en Bourgogne","CC",0,0,17798,"Retraités agricoles",72,20.3,144,248900334,4,324.837049106641
"CC du Haut Pays Bigouden","CC",0,0,18465,"Agents technique et techniciens",61,23.4,116,200068120,4.5,600.528223666396
"CC du Pays Bigouden Sud","CC",0,0,38565,"Employés (secteur privé)",65,30.3,293,200068120,6.3,722.462625178271
"CC du Pays d'Ancenis","CC",0,0,67991,"Médecins",72,17,468,244400404,5.3,472.058708211381
"CC du Pays de Conches","CC",0,0,19193,"Retraités de l'enseignement",76,17.7,132,200071454,4.3,784.463975928724
"CC du Pays de Falaise","CC",0,0,28902,"Retraités fonct.publique (sf enseig.)",80,19.4,175,200065597,4.4,557.145223167947
"CC du Pays de Limours (CCPL)","CC",0,0,27383,"Professeurs du secondaire et techn.",71,16.6,302,200054781,17.5,374.620238103933
"CC du Pays de Saint-Yrieix","CC",0,0,12622,"Architectes",75,31.6,96,248719312,4.3,485.406981460941
"CC du Pays Réuni d'Orange","CC",31,1,45829,"Retraités des professions libérales",78,21,519,248400160,5.8,581.106142180715
"CC du Sud-Artois","CC",0,0,28266,"Permanents politiques",67,18.5,150,200033579,3.4,487.02831069129
"CC Haute Sarthe Alpes Mancelles","CC",0,0,23576,"Fonctionnaires de catégorie B",63,22.5,112,246100663,3,447.722367662029
"CC Inter-Caux-Vexin","CC",0,0,55265,"Fonctionnaires de catégorie A",61,17.9,426,200023414,7.4,268.840229439971
"CC Jalle-Eau-Bourde","CC",0,0,30999,"Autres retraités",78,21,394,243300316,13,403.398255750185
"CC Lieuvin Pays d'Auge","CC",0,0,20873,"Permanents politiques",59,20.2,173,200066413,3.8,754.59721745796
"CC Liffré-Cormier Communauté","CC",0,0,26181,"Autres cadres (secteur privé)",44,13.9,169,243500139,10,373.172823039609
"CC Montfort Communauté","CC",4,1,25859,"Fonctionnaires de catégorie A",51,15.6,178,243500139,7.2,391.308465911288
"CC Moret Seine et Loing","CC",0,0,40103,"Professeurs du secondaire et techn.",66,18.8,465,200072346,9.6,525.357116425205
"CC Piège Lauragais Malepère","CC",0,0,16267,"Professeurs de faculté",50,24.2,135,200035715,6,585.154652978423
"CC Plateau de Caux-Doudeville-Yerville","CC",0,0,21372,"Ingénieurs",70,16.5,138,247600620,4.3,266.584395002807
"CC Pleyben-Châteaulin-Porzay","CC",0,0,24330,"Avocats",55,21.2,154,200068120,5.3,668.212713111385
"CC Roussillon-Conflent","CC",0,0,18621,"Retraités fonct.publique (sf enseig.)",70,22.4,191,200027183,4.9,661.41961548789
"CC Terres de Saône","CC",0,0,13621,"Retraités salariés privés",73,20.4,81,247000011,3,779.103492401439
"CC Thelloise","CC",0,0,61207,"Grands corps de l'état",73,14.7,520,200067999,5.2,432.030356985312
"CC Vienne et Gartempe","CC",0,0,40803,"Autres professions",60,30.1,310,200069854,3.7,503.356942381688
"Clermont Auvergne Métropole","MET",1,1,295358,"Sans profession déclarée",51,20,3455,200070753,13,1200.97100515307
"CU Angers Loire Métropole","CU",36,1,302001,"Autres professions",47,18.5,3322,200071553,11.4,1198.58587107327
"CU Caen la Mer","CU",0,0,271472,"Administrateurs de sociétés",57,18.3,3593,200054781,11.5,1693.55008634408
"CU d'Alençon","CU",0,0,58699,"Retraités de l'enseignement",69,22.8,368,200065597,5.8,1281.28153529021
"CU du Grand Besançon Métropole","CU",56,1,198540,"Agents technique et techniciens",74,18.5,2187,242100410,11.8,1313.31607162285
"CU Le Mans Métropole","CU",0,0,210627,"Professeurs du secondaire et techn.",61,21.1,1905,200054781,8.7,1362.11181268308
"CU Perpignan Méditerranée Métropole","CU",0,0,272800,"Avocats",72,23.9,3503,200043602,7,1161.84862181085
"Dijon Métropole","MET",0,0,257933,"Grands corps de l'état",70,18.9,3398,200054781,12.7,1069.50396843366
"Eurométropole de Strasbourg","MET",61,1,498227,"Employés (secteur privé)",66,16.3,6942,200054781,16,1888.22429376569
"Grenoble-Alpes-Métropole","MET",12,1,450049,"Cadres et professions intellectuelles supérieures",52,17.7,6273,200018166,17.6,1212.36979888857
"Métropole d'Aix-Marseille-Provence","MET",17,1,1898950,"Cadres supérieurs (secteur privé)",59,19.7,31158,200054781,12.3,1618.93298074725
"Métropole de Lyon","MET",631,1,1400134,"Industriels-Chefs entreprise",60,16.2,28918,200054781,18.1,2264.06432618592
"Métropole du Grand Nancy","MET",50,1,261985,"Retraités des professions libérales",82,17.7,3245,245400601,14.8,1648.40777659026
"Métropole du Grand Paris","MET",0,0,7090092,"Autres professions",66,14.7,175339,200058519,24.8,8.62304671504968
"Métropole du Grand Paris","MET",0,0,7090092,"Autres professions",76,14.7,175339,200058519,24.8,8.62304671504968
"Métropole Nice Côte d'Azur","MET",64,1,544819,"Autres professions",66,23.9,11213,240600585,12,2054.07946822706
"Métropole Rouen Normandie","MET",2,1,499169,"Grands corps de l'état",59,18.3,5700,200070449,9.7,1328.55804799577
"Métropole Toulon-Provence-Méditerranée","MET",29,1,439542,"Retr.artis.commerc.chefs d'entrep.",74,25.1,6485,200054807,8.6,1368.14709522639
"Metz Métropole","MET",54,1,226287,"Cadres supérieurs (secteur privé)",61,18.3,2541,245400676,12.1,1084.86666344067
"Montpellier Méditerranée Métropole","MET",136,1,472573,"Dentistes",63,16.3,10245,200054781,18,1652.67902994881
"Nantes Métropole","MET",139,1,654829,"Fonctionnaires de catégorie A",42,16.1,9847,200054781,16.6,1777.15077178928
"Orléans Métropole","MET",52,1,289942,"Professeurs de faculté",69,17.2,3271,200054781,11.9,1499.7502147326
"Rennes Métropole","MET",108,1,454931,"Autres professions",52,15.1,5914,200054781,17.1,1838.05351664318
"Saint-Etienne Métropole","MET",4,1,410290,"Cadres (entreprises publiques)",49,21,4940,200065886,6.9,956.613786541227
"Toulouse Métropole","MET",163,1,775014,"Grands corps de l'état",60,14.7,15208,200054781,21.2,1357.56639006521
"Tours Métropole Val de Loire","MET",41,1,299847,"Industriels-Chefs entreprise",60,20.4,3755,200054781,12.2,906.720806578021
