"nom","type","nb_publi","ouvre_data","pop_insee","CSP_chef","age_chef","part_plus65","nb_crea_entps","flux_migration_res","part_diplomes","depenses_hab"
"Sartrouville","COM",0,0,53237,"Grands corps de l'état",58,15.1,913,75056,14.5,1396.10671431523
"Trappes","COM",0,0,32931,"Retraités salariés privés",84,9.8,700,78208,5.8,2103.96823691962
"Vélizy-Villacoublay","COM",0,0,21735,"Industriels-Chefs entreprise",55,17.2,321,78322,18.8,3217.40532229124
"Versailles","COM",0,0,87315,"Grands corps de l'état",61,18.7,1572,75056,37.2,1725.93898986428
"Chauray","COM",0,0,7136,"Retraités de l'enseignement",79,21.3,50,79191,8.7,1860.71440863229
"Niort","COM",9,1,61044,"Cadres supérieurs (secteur privé)",48,21.4,486,86194,11,1710.35265529782
"Amiens","COM",0,0,136998,"Professeurs de faculté",65,14.3,1679,59350,12.5,1261.31937429743
"Montauban","COM",0,0,61978,"Avocats",68,21.1,872,31555,8.1,1846.19919116461
"Fréjus","COM",6,1,54023,"Sans profession déclarée",33,28.1,1002,83118,6.2,1803.73065971901
"Hyères","COM",0,0,56799,"Professeurs de faculté",74,29,808,83047,9.7,1834.41835789362
"La Seyne-sur-Mer","COM",1,1,65386,"Professions rattachées à enseignt.",63,23.9,1017,83137,6.5,1501.74879071973
"Six-Fours-les-Plages","COM",0,0,33904,"Pharmaciens",70,32.5,514,83126,8.6,1590.24988025012
"Toulon","COM",0,0,171643,"Retr.artis.commerc.chefs d'entrep.",74,22.8,2591,83144,9,1362.25180176296
"Avignon","COM",42,1,94200,"Professeurs de faculté",52,18.3,1769,84092,10.2,2210.64259766454
"Orange","COM",0,0,29856,"Retraités des professions libérales",78,21.5,346,13055,6,1535.36400355037
"Le Pontet","COM",0,0,17749,"Autres professions libérales",39,19.2,243,84007,4.9,1816.72345709617
"Les Sables-d'Olonne","COM",0,0,44736,"Sans profession déclarée",45,38.9,478,44109,6.5,1740.31599807761
"Châtellerault","COM",0,0,32887,"Retraités des entreprises publiques",70,25.5,297,86194,6,1460.70135646304
"Poitiers","COM",44,1,90590,"Professeurs de faculté",72,15.5,1113,86041,16.2,1281.01275869301
"Limoges","COM",1,1,135140,"Médecins",70,21.2,1392,87114,10,1453.88619032115
"Épinal","COM",0,0,33454,"Retraités des professions libérales",75,20.8,369,54395,8.2,1868.96986249776
"Auxerre","COM",0,0,36804,"Sans profession déclarée",68,21.9,379,21231,8,1552.33760895555
"Sens","COM",0,0,26688,"Sans profession déclarée",70,22.8,375,89287,7.2,1571.2918678807
"Belfort","COM",0,0,49926,"Cadres supérieurs (secteur privé)",56,17.8,598,90099,11.9,1741.98504706966
"Boussy-Saint-Antoine","COM",0,0,7351,"Sans profession déclarée",41,15.2,98,91514,11.1,1390.86251122296
"Corbeil-Essonnes","COM",0,0,51682,"Administrateurs de sociétés",76,11.1,977,91228,7.1,1645.70822510739
"Draveil","COM",0,0,29558,"Avocats",63,18.3,404,91657,11.7,1260.50876006496
"Grigny","COM",0,0,29118,"Sans profession déclarée",46,8,556,91687,4.7,1698.45407170822
"Longjumeau","COM",13,1,21838,"Sans profession déclarée",50,15.5,340,91161,10.6,1609.346579815
"Massy","COM",0,0,50549,"Cadres supérieurs (secteur privé)",50,12.6,964,75056,24.7,2592.59251340284
"Palaiseau","COM",0,0,34954,"Autres professions",36,13.6,623,75056,26.9,1626.2636327745
"Yerres","COM",0,0,29132,"Agents généraux d'assurances",52,16.7,366,91114,13.5,1592.4862731704
"Antony","COM",0,0,62989,"Retraités des entreprises publiques",74,17.7,993,75056,33.6,1920.15374890854
"Asnières-sur-Seine","COM",5,1,86678,"Avocats",56,13,2042,75056,27.4,1698.41445384065
"Bagneux","COM",0,0,39977,"Enseignants 1er deg.-directeurs école",61,12.7,776,75056,14.5,2282.20094304225
"Boulogne-Billancourt","COM",14,1,120943,"Autres professions",66,16.6,2901,75056,39.2,1609.08146308592
"Châtenay-Malabry","COM",0,0,33413,"Autres professions",64,15.3,501,75056,24.2,1627.19963577051
"Châtillon","COM",0,0,37132,"Autres retraités",79,13.1,579,75056,28,1759.20339087579
"Chaville","COM",11,1,20617,"Retraités salariés privés",74,16.1,311,75056,32.4,1437.97868361061
"Clamart","COM",0,0,53099,"Sans profession déclarée",41,17.1,915,75056,22.8,2148.39927964745
"Colombes","COM",0,0,86050,"Autres professions",83,12.9,1735,75056,19.8,2088.03917292272
"Courbevoie","COM",0,0,82351,"Retr.artis.commerc.chefs d'entrep.",80,14.1,1828,75056,35.5,2233.94201600466
"La Garenne-Colombes","COM",0,0,29503,"Médecins",57,13.6,534,92025,30.2,2080.53881876419
"Issy-les-Moulineaux","COM",97,1,69231,"Professeurs de faculté",80,13.6,1239,75056,36.5,1814.760699831
"Levallois-Perret","COM",0,0,64028,"Permanents politiques",72,14.9,1654,75056,36.3,3210.67596770163
"Nanterre","COM",9,1,96321,"Ingénieurs",67,11.2,2041,75056,18.3,2464.41774805079
"Neuilly-sur-Seine","COM",0,0,61501,"Permanents politiques",58,22.1,1890,75056,45.2,2302.04231313312
"Puteaux","COM",2,1,44941,"Permanents politiques",70,12.7,1068,75056,34.1,5031.68345052402
"Rueil-Malmaison","COM",23,1,79783,"Autres professions",76,15.8,1409,75056,30.2,2851.42021032049
"Saint-Cloud","COM",0,0,30797,"Industriels-Chefs entreprise",57,17.8,553,75056,41.9,1666.07526057733
"Sceaux","COM",2,1,19856,"Ingénieurs conseils",67,21.1,274,75056,41.2,2758.97258612006
"Suresnes","COM",22,1,49145,"Sans profession déclarée",70,12.1,953,75056,33.6,2303.66295370841
"Vanves","COM",1,1,28148,"Permanents politiques",66,18,479,75056,31.2,1589.38962803752
