siren,nom,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,long,merge,depcode,nom_upper,part_plus65,nb_crea_entps,flux_migration_res,niveau_vie,part_diplomes,depenses_hab
244400644,CA DE LA REGION NAZAIRIENNE ET DE L'ESTUAIRE,CA,PDL-52,https://data.agglo-carene.fr/explore/?refine.publisher=CARENE,22,,,,CARENE,123818,,,ptf,44,REGION NAZAIRIENNE ET DE L'ESTUAIRE,,,,,,1335.99829007693
244500203,CA MONTARGOISE ET RIVES DU LOING,CA,CVL-24,,,https://www.data.gouv.fr/fr/organizations/5bfd11e4634f4170344a961b/,1,5bfd11e4634f4170344a961b,,61353,,,datagouv,45,MONTARGOISE ET RIVES DU LOING,,,,,,632.359800037435
244900882,CC BAUGEOIS VALLEE,CC,PDL-52,,,https://www.data.gouv.fr/fr/organizations/communaute-de-communes-vallee-des-baux-alpilles/,4,5c06560f634f417ac74c46cc,,35372,,,datagouv,49,BAUGEOIS VALLEE,20.7,177,244900015,20270,3.8,463.564542692191
245300330,CA DE LAVAL,CA,PDL-52,,,https://www.data.gouv.fr/fr/organizations/5bc4921f8b4c416a683d003f/,1,5bc4921f8b4c416a683d003f,,112937,,,datagouv,53,LAVAL,19.2,1294,243500139,21680,7.2,
245400601,BASSIN DE POMPEY,CC,GES-44,https://data.bassinpompey.fr/donnees-collectivite,2,,,,,41208,48.768929,6.128609,ptf,54,BASSIN DE POMPEY,21.3,317,245400676,22100,6.2,773.996138283628
245804406,CA DE NEVERS,CA,BFC-27,https://www.databfc.fr/bfc/portail,9,https://www.data.gouv.fr/fr/organizations/5943987b88ee381f30d196f7,1,5943987b88ee381f30d196f7,,34228,,,ptf+datagouv,58,NEVERS,25.1,451,200068088,20470,5.5,825.754145894001
245901160,CA DE VALENCIENNES METROPOLE,CA,HDF-32,https://valenciennesmetro.opendatasoft.com/explore/?sort=modified&refine.publisher=CAVM,6,,,,CAVM,192471,,,ptf,59,VALENCIENNES METROPOLE,16.8,1699,200042190,18530,6.5,718.540637787469
246000566,CC DU PLATEAU PICARD,CC,HDF-32,,,https://www.data.gouv.fr/fr/organizations/596c880888ee387e51f2c2f6/,1,596c880888ee387e51f2c2f6,,29149,,,datagouv,60,PLATEAU PICARD,15.7,173,246000376,21400,3.5,450.122436865822
246200729,CA DU BOULONNAIS,CA,HDF-32,,,https://www.data.gouv.fr/fr/organizations/5970a76d88ee38216d112aa1/,2,5970a76d88ee38216d112aa1,,116014,,,datagouv,62,BOULONNAIS,19.5,879,200018083,18720,5.5,784.927287798522
246500573,CC AURE ET LOURON,CC,OCC-76,https://opendata.ha-py.fr/pages/vallees-aure-louron/,1,,,,,12336,,,ptf,65,AURE ET LOURON,25,85,,20520,6.7,743.257231829046
246900740,CC DU PAYS MORNANTAIS,CC,ARA-84,,,https://www.data.gouv.fr/fr/organizations/5bbdad47634f410fb7e37ca7/,7,5bbdad47634f410fb7e37ca7,,27926,,,datagouv,69,PAYS MORNANTAIS,,,,,,444.641239914489
247000011,CA DE VESOUL,CA,BFC-27,https://www.databfc.fr/bfc/portail,1,https://www.data.gouv.fr/fr/organizations/5cd5862c8b4c412132ddb84c/,1,5cd5862c8b4c412132ddb84c,,15058,,,datagouv,70,VESOUL,22.3,288,242500361,20870,6.3,795.84432293816
247100589,CA GRAND CHALON,CA,BFC-27,https://www.databfc.fr/bfc/portail,3,,,,,113901,,,ptf,71,GRAND CHALON,21.7,1058,242100410,21300,6.7,890.759610910108
247600596,CA HAVRAISE,CA,NOR-28,https://data.agglo-lehavre.fr,157,https://www.data.gouv.fr/fr/organizations/59bfa079c751df6dad38dc0d/,49,59bfa079c751df6dad38dc0d,,236133,,,ptf+datagouv,76,HAVRAISE,,,,,,
247600786,CA DE LA REGION DIEPPOISE,CA,NOR-28,,,https://www.data.gouv.fr/fr/organizations/5c1bb6bf634f416b25009c88/,1,5c1bb6bf634f416b25009c88,,47223,,,datagouv,76,REGION DIEPPOISE,24.9,376,247600729,19680,5.6,743.113982290026
247800584,CA VERSAILLES GRAND PARC,CA,IDF-11,http://www-cavgp.opendata.arcgis.com/datasets,39,https://www.data.gouv.fr/fr/organizations/58c5a537c751df2fb0fde3c9/,39,58c5a537c751df2fb0fde3c9,,264484,,,ptf+datagouv,78,VERSAILLES GRAND PARC,,,,,,228.031801386451
248100430,CA DE CASTRES MAZAMET,CA,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5c9398018b4c412692ef9cf7/,1,5c9398018b4c412692ef9cf7,,78244,,,datagouv,81,CASTRES MAZAMET,26.5,750,243100518,19560,5.7,625.199296917655
248100737,CA DE L'ALBIGEOIS,CA,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5be0257c634f415cecdbb5ff/,3,5be0257c634f415cecdbb5ff,,82435,,,datagouv,81,L'ALBIGEOIS,,,,,,970.766469296174
248300493,CA DRACENIE PROVENCE VERDON AGGLOMERATION,CA,PAC-93,https://trouver.datasud.fr/organization/dracenie-provence-verdon-agglomeration,2,https://www.data.gouv.fr/fr/organizations/5baa4a978b4c412a0da6114c/,2,5baa4a978b4c412a0da6114c,,107518,,,ptf+datagouv,83,DRACENIE PROVENCE VERDON,23.3,1549,200035319,20700,6.2,670.888376280461
248400053,CA VENTOUX COMTAT VENAISSIN,CA,PAC-93,https://trouver.datasud.fr/organization/communaute-dagglomeration-ventoux-comtat-venaissin,54,https://www.data.gouv.fr/fr/organizations/5c62d28e8b4c414299ae8286/,54,5c62d28e8b4c414299ae8286,,69203,,,ptf+datagouv,84,VENTOUX COMTAT VENAISSIN,,,,,,664.449032226329
248400236,CC DU PAYS REUNI D'ORANGE,CC,PAC-93,https://trouver.datasud.fr/organization/communaute-de-communes-du-pays-reuni-dorange,31,,,,,44901,,,ptf,84,PAYS REUNI D'ORANGE,21,519,248400160,19570,5.8,581.106142180715
248400251,CA GRAND AVIGNON,CA,PAC-93,,,https://www.data.gouv.fr/fr/organizations/5a7ad2b1c751df27e7d1190c/,17,5a7ad2b1c751df27e7d1190c,,193712,,,datagouv,84,GRAND AVIGNON,,,,,,1117.32533821165
248400319,CC PAYS DES SORGUES MONTS DE VAUCLUSE,CC,PAC-93,https://trouver.datasud.fr/dataset?organization=communaute-de-communes-pays-des-sorgues-monts-de-vaucluse&_organization_limit=0,6,,,,,33238,,,ptf,84,SORGUES MONTS DE VAUCLUSE,,,,,,566.96443639576
248500589,CA LA ROCHE SUR YON,CA,PDL-52,,,https://www.data.gouv.fr/fr/organizations/5f106ce48370b7ac5ed923f0/,1,5f106ce48370b7ac5ed923f0,,95416,,,datagouv,85,LA ROCHE SUR YON,18.6,910,244400404,21690,7.1,1042.21326015225
248900334,CA DU GRAND SENONAIS,CA,BFC-27,https://trouver.ternum-bfc.fr/organization/communaute-dagglomeration-du-grand-senonais,3,https://www.data.gouv.fr/fr/datasets/5c2f22d6634f416a515cb152/,1,5c2f22d6634f416a515cb152,,58729,,,ptf+datagouv,89,GRAND SENONAIS,22.7,655,248900896,20370,5.8,796.879930770632
249730045,COMMUNAUTE D'AGGLOMERATION DU CENTRE LITTORAL,CA,GF-03,https://data.cacl-guyane.fr/,40,,,,,137964,,,ptf,973,COMMUNAUTE D'AGGLOMERATION DU CENTRE LITTORAL,,,,,,537.557635057554
