siren,nom,parti_politique,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,long,merge,depcode,nom_upper,part_plus65,niveau_vie,part_diplomes,taux_chomage,nb_crea_entps,nb_nuitees_hotels,flux_migration_res,depenses_hab,part_etudiants,Mode
223300013,Gironde,Parti socialiste,DEP,NAQ-75,https://www.datalocale.fr/dataset?organization=cd33,80,https://www.data.gouv.fr/fr/organizations/534fff67a3a7292c64a77d83/,84,534fff67a3a7292c64a77d83,,1620000,,,ptf+datagouv,33,GIRONDE,18.8,22400,11.3,8.1,26039,4665,24,1069.93572816769,6.5,urbain dense
223300013,Gironde,Apparentés,DEP,NAQ-75,https://www.datalocale.fr/dataset?organization=cd33,80,https://www.data.gouv.fr/fr/organizations/534fff67a3a7292c64a77d83/,84,534fff67a3a7292c64a77d83,,1620000,,,ptf+datagouv,33,GIRONDE,18.8,22400,11.3,8.1,26039,4665,24,1069.93572816769,6.5,urbain dense
223100017,Haute-Garonne,Parti socialiste,DEP,OCC-76,https://data.haute-garonne.fr/explore/?refine.publisher=Conseil+départemental+de+la+Haute-Garonne,82,https://www.data.gouv.fr/fr/organizations/582a045088ee3875cec65bb4,113,582a045088ee3875cec65bb4,Conseil départemental de la Haute-Garonne,1390000,,,ptf+datagouv,31,HAUTE-GARONNE,16.3,23140,16.9,8,22414,3129,81,1188.17988025853,8.5,urbain dense
220500011,Hautes-Alpes,Les Républicains,DEP,PAC-93,https://trouver.datasud.fr/organization/conseil-departemental-des-hautes-alpes,61,https://www.data.gouv.fr/fr/organizations/5a98083188ee387ee20c3cdb/,55,5a98083188ee387ee20c3cdb,,141784,,,ptf+datagouv,5,HAUTES-ALPES,23.5,20880,7.4,7.9,1740,976,13,1512.96815946848,0.8,
226500015,Hautes-Pyrénées,Parti radical de gauche,DEP,OCC-76,https://opendata.ha-py.fr/explore/?refine.publisher=D%C3%A9partement+des+Hautes-Pyr%C3%A9n%C3%A9es,39,https://www.data.gouv.fr/fr/organizations/5c3f1ca2634f411d2aef4ddb/,39,5c3f1ca2634f411d2aef4ddb,Département des Hautes-Pyrénées,225219,,,ptf+datagouv,65,HAUTES-PYRENEES,26.4,20420,6.1,9.3,2463,2789,31,1536.07363206043,2.5,urbain densité intermédiaire
229200506,Hauts-de-Seine,Union pour un mouvement populaire,DEP,IDF-11,https://opendata.hauts-de-seine.fr/explore/?refine.publisher=D%C3%A9partement+des+Hauts-de-Seine,138,https://www.data.gouv.fr/fr/organizations/544e1b0888ee38289ae1ed05,149,544e1b0888ee38289ae1ed05,Département des Hauts-de-Seine,1606000,,,ptf+datagouv,92,HAUTS-DE-SEINE,15.1,28040,29.5,6.5,32480,6020,75,1160.25193383074,5.4,urbain dense
229200506,Hauts-de-Seine,Rassemblement pour la République,DEP,IDF-11,https://opendata.hauts-de-seine.fr/explore/?refine.publisher=D%C3%A9partement+des+Hauts-de-Seine,138,https://www.data.gouv.fr/fr/organizations/544e1b0888ee38289ae1ed05,149,544e1b0888ee38289ae1ed05,Département des Hauts-de-Seine,1606000,,,ptf+datagouv,92,HAUTS-DE-SEINE,15.1,28040,29.5,6.5,32480,6020,75,1160.25193383074,5.4,urbain dense
229200506,Hauts-de-Seine,Occident,DEP,IDF-11,https://opendata.hauts-de-seine.fr/explore/?refine.publisher=D%C3%A9partement+des+Hauts-de-Seine,138,https://www.data.gouv.fr/fr/organizations/544e1b0888ee38289ae1ed05,149,544e1b0888ee38289ae1ed05,Département des Hauts-de-Seine,1606000,,,ptf+datagouv,92,HAUTS-DE-SEINE,15.1,28040,29.5,6.5,32480,6020,75,1160.25193383074,5.4,urbain dense
229200506,Hauts-de-Seine,Union des démocrates pour la République,DEP,IDF-11,https://opendata.hauts-de-seine.fr/explore/?refine.publisher=D%C3%A9partement+des+Hauts-de-Seine,138,https://www.data.gouv.fr/fr/organizations/544e1b0888ee38289ae1ed05,149,544e1b0888ee38289ae1ed05,Département des Hauts-de-Seine,1606000,,,ptf+datagouv,92,HAUTS-DE-SEINE,15.1,28040,29.5,6.5,32480,6020,75,1160.25193383074,5.4,urbain dense
223400011,Hérault,Parti socialiste,DEP,OCC-76,https://www.herault-data.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Conseil+D%C3%A9partemental+de+l%27H%C3%A9rault,34,,,,Conseil Départemental de l'Hérault,1145000,,,ptf,34,HERAULT,21,20330,11.4,12,19335,3308,30,1222.10464901812,7.3,urbain densité intermédiaire
223500018,Ille-et-Vilaine,Parti socialiste,DEP,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5d15cbed8b4c411740bae4bc/,25,5d15cbed8b4c411740bae4bc,,1076000,,,datagouv,35,ILLE-ET-VILAINE,17.5,22230,10.9,6.4,10675,3053,22,946.480854166416,6.8,urbain densité intermédiaire
223600016,Indre,Union pour un mouvement populaire,DEP,CVL-24,,,https://www.data.gouv.fr/fr/organizations/5a82f34188ee380c10423e48/,8,5a82f34188ee380c10423e48,,217312,,,datagouv,36,INDRE,27.2,20200,4,8.1,1458,419,37,1030.88799871177,0.8,urbain densité intermédiaire
223700014,Indre-et-Loire,Parti socialiste,DEP,CVL-24,https://data-cd37.opendata.arcgis.com/search,1,https://www.data.gouv.fr/fr/organizations/5733002788ee384aabd1b934/,1,5733002788ee384aabd1b934,,608387,,,ptf,37,INDRE-ET-LOIRE,21.1,21750,8.7,7.7,6155,1885,41,939.969561957946,5.4,
223800012,Isère,Union pour un mouvement populaire,DEP,ARA-84,https://opendata.isere.fr/explore/?sort=modified&refine.publisher=D%C3%A9partement+de+l%27Is%C3%A8re,33,https://www.data.gouv.fr/fr/organizations/5bb1c7e4634f412a95dff6b9/,48,5bb1c7e4634f412a95dff6b9,Département de l'Isère,1262000,,,ptf+datagouv,38,ISERE,17.9,22950,11.8,6.9,15998,2467,69,1208.84193810306,5.2,urbain dense
223900010,Jura,Union pour la démocratie française,DEP,BFC-27,https://trouver.ternum-bfc.fr/organization/departement-du-jura,2,,,,,260188,,,ptf,39,JURA,22.9,21700,5,6.1,2097,508,25,1126.79701627292,0.8,urbain densité intermédiaire
224100016,Loir-et-Cher,Union pour la démocratie française,DEP,CVL-24,,,https://www.data.gouv.fr/fr/organizations/534fff68a3a7292c64a77d8a,69,534fff68a3a7292c64a77d8a,,330727,,,datagouv,41,LOIR-ET-CHER,24,21380,5.5,7,2596,981,37,1099.75330158647,1,urbain densité intermédiaire
224100016,Loir-et-Cher,Union pour un mouvement populaire,DEP,CVL-24,,,https://www.data.gouv.fr/fr/organizations/534fff68a3a7292c64a77d8a,69,534fff68a3a7292c64a77d8a,,330727,,,datagouv,41,LOIR-ET-CHER,24,21380,5.5,7,2596,981,37,1099.75330158647,1,urbain densité intermédiaire
224400028,Loire-Atlantique,Parti socialiste,DEP,PDL-52,https://data.loire-atlantique.fr/explore/?refine.publisher=Département+de+Loire-Atlantique,260,https://www.data.gouv.fr/fr/organizations/534fff6fa3a7292c64a77dc1/,257,534fff6fa3a7292c64a77dc1,Département de Loire-Atlantique,1426000,,,ptf+datagouv,44,LOIRE-ATLANTIQUE,17.8,22600,10.9,6.8,16395,3307,49,901.664953521142,4.6,urbain densité intermédiaire
224500017,Loiret,Union pour un mouvement populaire,DEP,CVL-24,https://open-loiret.opendata.arcgis.com/datasets?source=Conseil%20d%C3%A9partemental%20du%20Loiret&t=donn%C3%A9es%20ouvertes,41,https://www.data.gouv.fr/fr/organizations/57d90ef4c751df44fb79df72,183,57d90ef4c751df44fb79df72,,678722,,,ptf+datagouv,45,LOIRET,19.5,21960,7.9,8.3,6177,1408,37,961.95802941576,3.1,
224500017,Loiret,Rassemblement pour la République,DEP,CVL-24,https://open-loiret.opendata.arcgis.com/datasets?source=Conseil%20d%C3%A9partemental%20du%20Loiret&t=donn%C3%A9es%20ouvertes,41,https://www.data.gouv.fr/fr/organizations/57d90ef4c751df44fb79df72,183,57d90ef4c751df44fb79df72,,678722,,,ptf+datagouv,45,LOIRET,19.5,21960,7.9,8.3,6177,1408,37,961.95802941576,3.1,
