"nom","type","nb_publi","ouvre_data","code_region","code_departement","nb_ptf","nb_datagouv","pop_insee","CSP_chef","age_chef","partis_po_chef","part_plus65","nb_crea_entps","flux_migration_res","niveau_vie","part_diplomes","depenses_hab"
"CA du Grand Annecy","CA",0,0,84,74,0,0,206835,"Cadres sup. (entreprises publiques)",62,"Union pour la démocratie française",19,3373,247400740,26420,13.8,841.964013730752
"CA du Grand Cahors","CA",23,1,76,46,0,23,42486,"Fonctionnaires de catégorie A",49,NA,25.4,409,243100518,21200,8,987.040992562256
"CA du Grand Chambéry","CA",20,1,84,73,20,35,138223,"Cadres supérieurs (secteur privé)",60,NA,19.7,1972,200068674,23040,11.6,1185.97946383742
"CA du Grand Cognac","CA",0,0,75,16,0,0,71882,"Professions rattachées à enseignt.",46,NA,23.4,557,200071827,21950,5.7,835.429235970062
"CA du Grand Dax","CA",0,0,75,40,0,0,57424,"Cadres sup. (entreprises publiques)",62,NA,26.1,680,244000865,21080,6,753.967418849262
"CA du Grand Dole","CA",1,1,27,39,0,1,56045,"Experts comptables",67,NA,22.4,429,242500361,21270,5.5,913.442800071371
"CA du Grand Guéret","CA",1,1,75,23,0,1,30387,NA,NA,NA,23.9,176,NA,21080,5.1,899.674001053082
"CA du Grand Sénonais","CA",3,1,27,89,3,1,60379,"Sans profession déclarée",70,"Union pour un mouvement populaire",22.7,655,248900896,20370,5.8,796.879930770632
"CA du Grand Verdun","CA",0,0,44,55,0,0,29910,"Professeurs du secondaire et techn.",42,NA,20.7,173,200066165,20200,5.2,1688.26207154798
"CA du Grand Villeneuvois","CA",0,0,75,47,0,0,49501,"Agents immobiliers",59,NA,26.4,386,200035459,19340,4.4,752.467435001313
"CA du Libournais","CA",0,0,75,33,0,0,92640,NA,NA,NA,19.9,1069,243300316,20430,5.2,736.213409326425
"CA du Niortais","CA",14,1,75,79,14,0,124588,"Cadres supérieurs (secteur privé)",48,"Parti radical",21.1,883,200041994,22690,8.7,1064.10401587633
"CA du Pays Basque","CA",0,0,75,64,0,0,315349,"Avocats",69,"Union des démocrates et indépendants",24.4,4597,243300316,21800,9.4,895.005587587086
"CA du Pays de Fontainebleau","CA",0,0,11,77,0,0,70211,NA,NA,NA,21.2,1044,200054781,27270,17.7,439.056405548988
"CA du Pays de Gex","CA",2,1,84,1,0,2,95187,"Pharmaciens",58,NA,11.4,921,200046977,35820,22.9,657.169524094677
"CA du Pays de Grasse","CA",1,1,93,6,1,2,103907,"Industriels-Chefs entreprise",43,NA,20.7,1743,200039915,23270,10.7,712.524647713821
"CA du Pays de l'Or","CA",1,1,76,34,0,1,45383,"Permanents politiques",59,"Union pour un mouvement populaire",25.9,889,243400017,22730,10.7,1295.91286979706
"CA du Pays de l'Or","CA",1,1,76,34,0,1,45383,"Permanents politiques",59,"Rassemblement pour la République",25.9,889,243400017,22730,10.7,1295.91286979706
"CA du Pays de Laon","CA",0,0,32,2,0,0,44505,NA,NA,NA,18.7,253,NA,19510,5.5,418.67140074149
"CA du Pays de Meaux","CA",0,0,11,77,0,0,98796,NA,NA,NA,12.7,1569,200054781,22030,6.5,429.655876958581
"CA du Pays de Saint-Omer","CA",1,1,32,62,0,1,108196,NA,NA,NA,17.4,654,200093201,19390,4.4,977.133984712928
"CA du Pays de Saint Malo Agglomération","CA",25,1,53,35,25,6,84975,"Retraités des entreprises publiques",73,"divers droite",26.4,930,243500139,21890,7.9,902.682186407767
"CA du Pays Voironnais","CA",0,0,84,38,0,0,95787,"Retraités salariés privés",73,"Parti socialiste",19.7,1048,200040715,23770,11.9,997.780184576195
"CA du Puy-en-Velay","CA",103,1,84,43,103,0,85543,"Retraités agricoles",72,NA,24,691,246300701,20740,5.4,944.58694399308
"CA du Saint-Quentinois","CA",523,1,32,2,523,0,83579,"Agents généraux d'assurances",56,"Union pour un mouvement populaire",20.6,595,240200493,18790,5.4,1153.00685854102
"CA du Saint-Quentinois","CA",523,1,32,2,523,0,83579,"Agents généraux d'assurances",56,"Rassemblement pour la République",20.6,595,240200493,18790,5.4,1153.00685854102
"CA du Saint-Quentinois","CA",523,1,32,2,523,0,83579,"Agents généraux d'assurances",56,"Les Républicains",20.6,595,240200493,18790,5.4,1153.00685854102
"CA du Sicoval","CA",48,1,76,31,48,23,78896,"Ingénieurs",60,NA,16.7,1102,243100518,26670,24.3,1423.97608611336
"CA du Val de Fensch","CA",12,1,44,57,0,12,71065,"Fonctionnaires de catégorie A",63,"Parti socialiste",20.3,482,245701362,19830,3.5,649.869418841905
"CA ECLA  (Espace Communautaire Lons Agglomération)","CA",0,0,27,39,0,0,36085,NA,NA,NA,25.4,299,200069615,21390,6.9,819.066285160039
"CA Épernay,Coteaux et Plaine de Champagne","CA",0,0,44,51,0,0,49677,"Avocats",58,"divers droite",21.3,289,200067213,22350,5.1,881.427436439398
"CA Étampois Sud-Essonne (CCESE)","CA",0,0,11,91,0,0,54511,"Autres professions",34,NA,15.4,606,200054781,22280,6.3,529.195027792556
"CA Evreux Portes de Normandie","CA",1,1,28,27,1,0,116242,"Médecins",58,"Union pour un mouvement populaire",17.3,1052,200023414,21340,6.7,1293.10237693777
"CA Fécamp Caux Littoral Agglomération","CA",6,1,28,76,6,0,40125,"Autres professions",54,NA,21.9,275,200084952,20480,4.1,559.179282242991
"CA Flers Agglo","CA",0,0,28,61,0,0,56064,"Fonctionnaires de catégorie A",61,"Parti socialiste",24.7,285,200065597,20040,3.9,783.001295305365
"CA Fougères Agglomération","CA",0,0,53,35,0,0,57021,"Professions rattachées à enseignt.",69,NA,22.2,352,243500139,20510,4.6,397.602052752495
"CA Gaillac-Graulhet","CA",8,1,76,81,0,8,74891,"Agriculteurs propriétaires exploit.",70,NA,23.1,898,248100737,20330,7,885.879630796758
"CA Golfe du Morbihan - Vannes Agglomération","CA",0,0,53,56,0,0,171960,"Ingénieurs",74,NA,23.4,1723,243500139,23010,9.7,499.477425680391
"CA Grand Auch Cœur de Gascogne","CA",0,0,76,32,0,0,40107,"Retraités fonct.publique (sf enseig.)",78,NA,24.7,396,243100518,21510,7.5,954.188774029471
"CA Grand Belfort","CA",40,1,27,90,40,46,107435,"Cadres supérieurs (secteur privé)",56,"Union pour un mouvement populaire",18.7,1076,200065647,21420,10.3,850.215057848932
"CA Grand Belfort","CA",40,1,27,90,40,46,107435,"Cadres supérieurs (secteur privé)",56,"Rassemblement pour la République",18.7,1076,200065647,21420,10.3,850.215057848932
"CA Grand Calais Terres et Mers","CA",0,0,32,62,0,0,104918,NA,NA,NA,16,716,200072478,18290,4.1,NA
"CA Grand Châtellerault","CA",0,0,75,86,0,0,86819,"Retraités des entreprises publiques",70,"Union pour la démocratie française",23.5,629,200069854,20450,4.7,801.258815927389
"CA Grand Lac","CA",0,0,84,73,0,0,75951,"Permanents politiques",61,"Union pour un mouvement populaire",21.7,1133,200069110,24390,10.1,1013.19544601124
"CA Grand Lac","CA",0,0,84,73,0,0,75951,"Permanents politiques",61,"Démocratie libérale",21.7,1133,200069110,24390,10.1,1013.19544601124
"CA Grand Lac","CA",0,0,84,73,0,0,75951,"Permanents politiques",61,"Parti républicain",21.7,1133,200069110,24390,10.1,1013.19544601124
"CA Grand Montauban","CA",0,0,76,82,0,0,79428,"Avocats",68,"Union pour un mouvement populaire",20.4,1059,243100518,20630,7.5,963.552706224505
"CA Grand Montauban","CA",0,0,76,82,0,0,79428,"Avocats",68,"Rassemblement pour la République",20.4,1059,243100518,20630,7.5,963.552706224505
"CA GrandSoissons Agglomération","CA",0,0,32,2,0,0,53504,"Retr.artis.commerc.chefs d'entrep.",68,NA,21.6,378,240200501,19230,4.9,642.53928902512
"CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat","CA",0,0,53,22,0,0,76381,"Conseillers juridiques",43,NA,27.3,448,200065928,20220,4.9,661.267641429151
"CA Haut - Bugey Agglomération","CA",0,0,84,1,0,0,65393,"Représentants de commerce",57,"Les Républicains",18.2,564,200071751,20520,4.3,775.085464805101
"CA Hérault-Méditerranée","CA",3,1,76,34,0,3,79041,"Permanents politiques",53,"Union pour un mouvement populaire",27.2,1062,243400017,19070,5.4,1246.90159550107
"CA La Roche-sur-Yon Agglomération","CA",1,1,52,85,0,1,99707,"Agents généraux d'assurances",60,NA,18.6,910,244400404,21690,7.1,1042.21326015225
"CA Lannion-Trégor Communauté","CA",8,1,53,22,8,9,103730,"Retraités salariés privés",74,"La République en marche",29.1,696,200067981,21620,9.3,1060.79053909187
"CA Le Grand Chalon","CA",3,1,27,71,3,0,118019,"Cadres supérieurs (secteur privé)",43,NA,21.7,1058,242100410,21300,6.7,890.759610910108
"CA Le Grand Narbonne","CA",0,0,76,11,0,0,130164,"Retr.artis.commerc.chefs d'entrep.",68,"Parti socialiste",26,1537,200035863,19420,6.2,978.651110061154
"CA Le Grand Périgueux","CA",0,0,75,24,0,0,107359,"Retraités fonct.publique (sf enseig.)",72,NA,23.3,1051,243300316,21130,6.3,911.824855298578
"CA Le Muretain Agglo","CA",0,0,76,31,0,0,121794,"Professions rattachées à enseignt.",62,NA,16.3,1557,243100518,23200,10.3,855.669720265366
"CA Les Sables d'Olonne Agglomération","CA",0,0,52,85,0,0,53622,NA,NA,NA,35.4,565,248500530,22530,6.2,783.994462161053
"CA Lisieux Normandie","CA",19,1,28,14,19,34,76969,"Fonctionnaires de catégorie A",60,"Parti socialiste",22.4,591,200065597,19970,4.3,530.304831815406
"CA Loire Forez Agglomération","CA",67,1,84,42,0,67,112038,"Industriels-Chefs entreprise",65,NA,20.9,1087,244200770,21850,5.2,845.807576268766
"CA Lorient Agglomération","CA",109,1,53,56,0,109,207857,"Professeurs du secondaire et techn.",74,"Parti socialiste",23.3,1772,243500139,21500,6.8,1044.65484833323
"CA Luberon Monts de Vaucluse","CA",0,0,93,84,0,0,56156,"Cadres supérieurs (secteur privé)",70,NA,22.7,767,200054807,20110,7,756.606715756108
"CA Marne et Gondoire","CA",0,0,11,77,0,0,105085,"Industriels-Chefs entreprise",61,NA,11.2,1798,200054781,25620,13.8,466.631797402103
"CA Maubeuge Val de Sambre","CA",0,0,32,59,0,0,127193,"Permanents politiques",38,"Parti socialiste",17.7,722,200043263,17310,3.2,816.865105941365
"CA Mauges Communauté","CA",8,1,52,49,8,0,123972,"Autres cadres (secteur privé)",55,NA,17.5,670,200071678,20870,3,279.749854644597
"CA Melun Val de Seine","CA",0,0,11,77,0,0,133094,"Professeurs de faculté",66,"Agir, la droite constructive",14.8,2005,200054781,21450,9.1,428.260242535351
"CA Mont-de-Marsan Agglomération","CA",0,0,75,40,0,0,55741,"Autres cadres (secteur privé)",53,NA,20.4,531,243300316,21520,6.5,1104.8679411923
"CA Mont-Saint-Michel-Normandie","CA",11,1,28,50,11,0,91437,"Fonctionnaires de catégorie C",47,NA,26.7,644,200042604,20410,3.6,598.735882082746
"CA Montargoise et Rives du Loing (A.M.E.)","CA",1,1,24,45,0,1,64112,NA,NA,NA,23,567,244500468,19650,5.6,632.359800037435
"CA Montélimar Agglomération","CA",0,0,84,26,0,0,66778,NA,NA,NA,20.4,824,200071405,20960,7.5,771.472366797448
