nom,nb_publi,ouvre_data,code_region,nb_ptf,nb_datagouv,population,CSP_chef,age_chef,partis_po_chef,part_plus65,niveau_vie,part_diplomes,taux_chomage,nb_crea_entps,nb_nuitees_hotels,flux_migration_res,depenses_hab,nb_etudiants,part_etudiants,niveau_rural,niveau_densite,percent_pop_rurale,region,is_big_nb_etu,feuilles_CART,is_extreme
Tarn-et-Garonne,0,0,76,0,0,263125,7,71,sans �tiquette,22.1,20140,5.7,9,2704,327,31,1283.45355462233,1695,0.6,6,3,51.449904279685,Occitanie,0,1,0
Var,9,1,93,9,0,1073201,7,70,Droite,25.8,21590,8,8.5,16786,3676,13,1109.38483907488,16369,1.5,5,1,13.9811245069418,Provence-Alpes-Côte d'Azur,0,1,0
Vaucluse,21,1,93,21,0,570921,7,77,Droite,22,19880,7.7,10.2,7875,2223,13,1144.48424291627,10967,1.9,5,2,25.6373724440306,Provence-Alpes-Côte d'Azur,0,1,0
Vendée,0,0,52,0,0,689496,7,67,Droite,24.1,21320,4.5,6.5,5526,1546,44,960.811725144163,6631,1,5,3,63.6554452364625,Pays de la Loire,0,3,0
Vienne,1,1,75,0,1,447026,3,59,Droite,21.8,20900,7.9,6.5,3822,1685,79,1002.88024745764,29232,6.5,6,3,60.1404059733197,Nouvelle-Aquitaine,0,2,0
Haute-Vienne,0,0,75,0,0,383215,4,68,Gauche,24.5,20860,7.3,7.3,3263,706,19,1105.94799786021,19901,5.2,3,3,50.1201150758418,Nouvelle-Aquitaine,0,1,0
Vosges,0,0,44,0,0,382328,8,58,Droite,23.7,20240,4.4,8.4,2750,940,54,1182.27554107991,3693,1,6,3,67.5679932651703,Grand Est,0,1,0
Yonne,0,0,27,0,0,350970,7,69,Droite,24.1,20800,5,7.2,2749,725,21,1089.8823032168,2057,0.6,6,3,67.2130469465536,Bourgogne-Franche-Comté,0,3,0
Territoire de Belfort,0,0,27,0,0,147347,3,44,Droite,19.6,21860,9.1,8.9,1354,310,25,1057.26233998656,5617,3.8,3,1,22.7541598411386,Bourgogne-Franche-Comté,0,2,0
Essonne,0,0,11,0,0,1305061,3,50,Droite,15,23920,13.5,6.7,19626,2049,77,1107.93713630244,46606,3.6,3,1,5.37627111718212,Île-de-France,0,1,0
Hauts-de-Seine,138,1,11,138,149,1622143,8,76,Droite,15.1,28040,30.7,6.4,32480,6020,75,1160.25193383074,86830,5.4,1,1,0,Île-de-France,1,4,1
Seine-Saint-Denis,356,1,11,356,173,1616311,3,51,Gauche,11.9,17740,10.1,10.7,35012,5032,77,1425.54906030461,60491,3.7,1,1,0,Île-de-France,1,4,1
Val-de-Marne,0,0,11,0,0,1389336,3,70,Gauche,14.7,22880,17.9,7.4,26168,3365,75,1294.75983533861,63069,4.5,1,1,0,Île-de-France,1,4,1
Val-d'Oise,0,0,11,0,0,1237218,7,75,Droite,13.5,21970,10.8,8.5,20790,4080,60,990.39290963274,33417,2.7,3,1,3.5526184831054,Île-de-France,0,2,0
