nom,nom_minimise,SIREN,code_region,code_departement
CC du Plateau de Lannemezan,CC PLATEAU LANNEMEZAN,200070787,76,65
CC du Plateau de Montbazens,CC PLATEAU DE MONTBAZENS,241200674,76,12
CC du Plateau de Russey,CC DU PLATEAU DU RUSSEY,242504355,27,25
CC du Plateau Picard,CC PLATEAU PICARD,246000566,32,60
CC du Pont du Gard,CC DU PONT DU GARD,243000684,76,30
CC du Provinois,CC DU PROVINOIS (CCDP),200037133,11,77
CC du Quercy Blanc,CC QUERCY BLANC,200039519,76,46
CC du Quercy Caussadais,CC QUERCY CAUSSADAIS,248200057,76,82
CC du Quercy Rouergue et des Gorges de l'Aveyron,CC QUERCY ROUERGUE GORGES AVEYRON,248200107,76,"81,82"
CC du Réolais en Sud Gironde,CC DU REOLAIS EN SUD GIRONDE,200044394,75,33
CC du Réquistanais,CC DU REQUISTANAIS,241200542,76,12
CC du Rhône aux Gorges de l'Ardèche,CC DU RHONE AUX GORGES DE L'ARDECHE,240700864,84,07
CC du Ried de Marckolsheim,CC RIED MARCKOLSHEIM CCRM,200030526,44,"67,68"
CC du Romorantinais et du Monestois,CC DU ROMORANTINAIS ET DU MONESTOIS,200018406,24,41
CC du Rouillacais,CC DU ROUILLACAIS,241600303,75,16
CC du Royans-Vercors,CC ROYANS VERCORS,200067767,84,26
CC du Sammiellois,CC SAMMIELLOIS,245500327,44,55
CC du Sartenais Valinco Taravo,CC DU SARTENAIS VALINCO TARAVO,242010130,94,2A
CC du Saulnois,CC SAULNOIS,245701206,44,57
CC du Saves,CC DU SAVES,243200599,76,32
CC du Secteur de Saint-Loubès,CC SECTEUR SAINT LOUBES,243301249,75,33
CC du Seignanx,CC DU SEIGNANX,244000659,75,40
CC du Serein,CC DU SEREIN,200039709,27,89
CC du Sisteronais-Buëch,CC DU SISTERONAIS-BUECH,200068765,"84,93","04,05,26"
CC du Sor et de l'Agout,CC SOR-ET-AGOUT,248100158,76,81
CC du Sud,CC DU SUD,200060473,06,976
CC du Sud-Artois,CC SUD ARTOIS,200035442,32,62
CC du Sud-Estuaire,CC SUD ESTUAIRE (CCSE),244400586,52,44
CC du Sud Avesnois,CC DU SUD AVESNOIS,200043404,32,59
CC du Sud Corse,CC DU SUD CORSE,200040764,94,2A
CC du Sud Est du Pays Manceau,CC SUD EST PAYS MANCEAU,247200421,52,72
CC du Sud Gironde,CC DU SUD GIRONDE,200043974,75,33
CC du Sud Marnais,CC SUD MARNAIS,245100979,44,51
CC du Sud Messin,CC DU SUD MESSIN,200039907,44,57
CC du Sud Territoire,CC SUD-TERRITOIRE-CCST,249000241,27,90
CC du Ternois,CC DU TERNOIS,200069672,32,"62,80"
CC du Terrassonnais en Périgord Noir Thenon Hautefort,CC TERRASSON PGD NOIR THENON HAUTEFORT,200041150,75,24
CC du Territoire de Fresnes-en-Woëvre,CC FRESNES,245501176,44,55
CC du Territoire de Lunéville à Baccarat,CC TERRIT LUNEVILLE A BACCARAT,200070324,44,54
CC du Territoire Nord Picardie,CC TERRITOIRE NORD PICARDIE,200070951,32,80
CC du Thouarsais,CC DU THOUARSAIS (CCT),247900798,75,79
CC du Triangle Vert,CC DU TRIANGLE VERT,200041861,27,70
CC du Trièves,CC DU TRIEVES,200030658,84,38
CC du Val d'Amboise,CC DU VAL D'AMBOISE,200043065,24,37
CC du Val d'Amour,CC DU VAL D'AMOUR,243900420,27,39
CC du Val d'Argent,CC VAL D'ARGENT,246800395,44,68
CC du Val d'Ay,CC DU VAL D'AY,240700716,84,07
CC du Val d'Essonne (CCVE),CC VAL-D'ESSONNE,249100546,11,91
CC du Val d'Ille-Aubigné,CC DU VAL D'ILLE-AUBIGNE,243500667,53,35
CC du Val d'Orne,CC VAL D'ORNE,246100390,28,61
CC du Val de Bouzanne,CC VAL-DE-BOUZANNE,200018521,24,36
CC du Val de Cher,CC DU VAL DE CHER,240300566,84,03
CC du Val de Drôme en Biovallée,CC DU VAL DE DROME EN BIOVALLEE,242600252,84,26
CC du Val de l'Aisne,CC DU VAL DE L'AISNE,240200501,32,02
CC du Val de l'Eyre,CC DU VAL DE L'EYRE,243301405,75,33
CC du Val de l'Oise,CC DU VAL DE L OISE,200040426,32,02
CC du Val de Morteau,CC VAL DE MORTEAU,242504116,27,25
CC du Val de Sarthe,CC VAL DE SARTHE,247200629,52,72
CC du Val de Somme,CC DU VAL DE SOMME,248000499,32,80
CC du Val de Sully,CC VAL DE SULLY,200070100,24,45
CC du Val de Vienne,CC VAL DE VIENNE,248719288,75,87
CC du Val Marnaysien,CC VAL MARNAYSIEN,200041887,27,"25,70"
CC du Vallespir,CC DU VALLESPIR,246600373,76,66
CC du Vexin-Thelle,CC VEXIN-THELLE,246000707,32,60
CC du Vexin-Val de Seine,CC VEXIN VAL-DE-SEINE,249500513,11,95
CC du Vexin Normand,CC DU VEXIN NORMAND,200071843,28,27
CC du Vimeu,CC VIMEU,200070944,32,80
CC du Volvestre,CC DU VOLVESTRE,200066819,76,31
CC du Warndt,CC WARNDT,245701164,44,57
CC Écueillé-Valençay,CC ECUEILLE - VALENCAY,200040558,24,36
CC Éguzon - Argenton - Vallée de la Creuse,CC EGUZON-ARGENTON-VALLEE DE LA CREUSE,200068872,24,36
CC Élan Limousin Avenir Nature,CC ELAN LIMOUSIN AVENIR NATURE,200066512,75,87
CC Enclave des Papes-Pays de Grignan,CC ENCLAVE DES PAPES PAYS DE GRIGNAN,200040681,"84,93","26,84"
CC Entr'Allier Besbre et Loire,CC ENTR'ALLIER BESBRE ET LOIRE,200071470,84,03
"CC Entre Arroux,Loire et Somme",CC ENTRE ARROUX LOIRE ET SOMME,200070316,27,71
CC Entre Beauce et Perche,CC ENTRE BEAUCE ET PERCHE,200058360,24,28
CC Entre Dore et Allier,CC ENTRE DORE ET ALLIER,246301097,84,63
CC Entre Juine et Renarde (CCEJR),CC JUINE ET RENARDE,249100553,11,91
CC Entre Saône et Grosne,CC ENTRE SAONE ET GROSNE,247103765,27,71
CC Estuaire et Sillon,CC ESTUAIRE ET SILLON,200072734,52,44
CC Falaises du Talou,CC FALAISES DU TALOU,247600729,28,76
CC Faucigny-Glières,CC FAUCIGNY-GLIERES CCFG,200000172,84,74
CC Fercher Pays Florentais,CC FERCHER PAYS FLORENTAIS,241800457,24,18
CC Fier et Usses,CC FIER ET USSES,247400567,84,74
CC Flandre Lys,CC FLANDRES-LYS,245900758,32,"59,62"
"CC Forêts,Lacs,Terres en Champagne",CC FORETS LACS TERRES CHAMPAGNE,241000223,44,10
"CC Forêts,Seine et Suzon",CC FORETS SEINE ET SUZON,200039063,27,21
CC Fumel Vallée du Lot,CC FUMEL VALLEE DU LOT,200068930,75,47
CC Gally Mauldre,CC GALLY MAULDRE,200034130,11,78
CC Gartempe - Saint-Pardoux,CC GARTEMPE-SAINT-PARDOUX,248719262,75,87
CC Gâtinais Val de Loing,CC GATINAIS-VAL DE LOING,200023919,11,77
CC Giennoises,CC GIENNOISES,244500211,24,45
CC Gorges Causses Cévennes,CC GORGES CAUSSES CEVENNES,200069151,76,48
CC Grand-Figeac,CC GRAND FIGEAC 2,200067361,76,"12,46"
CC Grand Orb,CC GRAND ORB CC EN LANGUEDOC,200042646,76,34
CC Grand Sud Tarn et Garonne,CC GRAND SUD TARN ET GARONNE,200066652,76,82
CC Haut-Jura Saint-Claude,CC HAUT JURA - SAINT CLAUDE,200026573,27,39
CC Haut-Léon Communauté,CC HAUT LEON COMMUNAUTE,200067072,53,29
CC Haut Chemin-Pays de Pange,CC HAUT CHEMIN-PAYS DE PANGE,200067957,44,57
CC Haut Limousin en Marche,CC HAUT LIMOUSIN EN MARCHE,200071942,75,87
CC Haut Nivernais-Val d'Yonne,CC HAUT NIVERNAIS VAL D'YONNE,200067429,27,"58,89"
CC Haut Val de Sèvre,CC DU HAUT VAL DE SEVRE (CCHVS),200041994,75,79
CC Haute-Corrèze Communauté,CC HAUTE-CORREZE COMMUNAUTE,200066744,75,"19,23"
CC Haute-Maurienne Vanoise,CC HAUTE MAURIENNE VANOISE,200070340,84,73
CC Haute-Provence-Pays de Banon,CC HAUTE PROVENCE-PAYS DE BANON,200071025,93,04
CC Haute Sarthe Alpes Mancelles,CC HAUTE SARTHE ALPES MANCELLES,200072700,52,72
CC Hautes Terres Communauté,CC HAUTES TERRES COMMUNAUTE,200066637,84,15
CC Houve-Pays Boulageois,CC HOUVE-PAYS BOULAGEOIS,200067650,44,57
CC Inter-Caux-Vexin,CC INTER-CAUX-VEXIN,200070449,28,76
CC Interco Normandie Sud Eure,CC INTERCO NORMANDIE SUD EURE,200066462,"24,28","27,28"
CC Intercom Bernay Terres de Normandie,CC INTERCOM BERNAY TERRES DE NORMANDIE,200066413,28,27
CC Intercom de la Vire au Noireau,CC DE LA VIRE AU NOIREAU,200068799,28,14
CC Interrégionale Aumale - Blangy-sur-Bresle,CC INTERREGIONALE AUMALE-BLANGY-SUR,200069722,"28,32","76,80"
CC Isigny-Omaha Intercom,CC ISIGNY-OMAHA INTERCOM,200066801,28,14
CC Isle-Loue-Auvézère en Périgord,CC ISLE LOUE AUVEZERE EN PERIGORD,242401024,75,24
CC Isle Double Landais,CC ISLE DOUBLE LANDAIS,200040384,75,24
CC Isle et Crempse-en-Périgord,CC ISLE ET CREMPSE EN PERIGORD,200069094,75,24
CC Isle Vern Salembre en Périgord,CC ISLE VERN SALEMBRE EN PERIGORD,200040095,75,24
CC Jabron-Lure-Vançon-Durance,CC JABRON-LURE-VANCON-DURANCE,200071033,"84,93","04,26"
CC Jalle-Eau-Bourde,CC JALLE EAU BOURDE,243301165,75,33
CC Jura Nord,CC JURA NORD,243900560,27,39
"CC Jura Sud,Pays des Lacs,Petite Montagne et Région d'Orgelet",CC PETITE MONTAGNE,200090579,27,39
"CC Jura Sud,Pays des Lacs,Petite Montagne et Région d'Orgelet",CC JURA SUD,200090579,27,39
