rentrée;Rentrée universitaire;Niveau géographique;Unité géographique;regroupement;Regroupements de formations ou d’établissements;secteur;Secteur de l’établissement d’inscription;sexe;Sexe de l’étudiant;Nombre total d’étudiants inscrits;Nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE (voir documentation);A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique;Identifiant de la région;Identifiant de l'académie;Identifiant du département;Identifiant de l'unité urbaine
2018;2018-19;Unité urbaine;Fougères;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;197;197;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35401;R53;;;UU35401
2018;2018-19;Unité urbaine;Fougères;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;77;77;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35401;R53;;;UU35401
2018;2018-19;Unité urbaine;Rennes;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;5873;5873;non;;oui;563;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2018;2018-19;Unité urbaine;Le Blanc;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;9;9;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU36201;R24;;;UU36201
2018;2018-19;Unité urbaine;Tours;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;1078;1078;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU37701;R24;;;UU37701
2018;2018-19;Unité urbaine;Villefontaine;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;123;123;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU38403;R84;;;UU38403
2018;2018-19;Unité urbaine;Grenoble;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;4209;4209;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU38701;R84;;;UU38701
2018;2018-19;Unité urbaine;Saint-Claude;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;27;27;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU39302;R27;;;UU39302
2018;2018-19;Unité urbaine;Dole;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;111;111;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU39402;R27;;;UU39402
2018;2018-19;Unité urbaine;Morcenx;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;18;18;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU40107;R75;;;UU40107
2018;2018-19;Unité urbaine;Peyrehorade;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;1;1;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU40204;R75;;;UU40204
2018;2018-19;Unité urbaine;Mont-de-Marsan;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;130;130;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU40401;R75;;;UU40401
2018;2018-19;Unité urbaine;Dax;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;329;329;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU40402;R75;;;UU40402
2018;2018-19;Unité urbaine;Blois;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;1502;1501;oui;355;oui;270;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU41501;R24;;;UU41501
