Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
01370;Saint-Laurent-sur-Saône;20.8;18;null;5.7
01371;Saint-Marcel;8.6;10;null;7.1
01372;Saint-Martin-de-Bavel;17.6;3;null;4.9
01373;Saint-Martin-du-Frêne;17.7;6;null;4.4
01374;Saint-Martin-du-Mont;18.4;20;null;6.5
01375;Saint-Martin-le-Châtel;17.4;6;null;5.1
01376;Saint-Maurice-de-Beynost;18.4;45;null;8
01378;Saint-Maurice-de-Gourdans;14.3;26;null;8.6
01379;Saint-Maurice-de-Rémens;14.4;8;null;2.4
01380;Saint-Nizier-le-Bouchoux;22.8;5;null;4.8
01381;Saint-Nizier-le-Désert;11.6;10;null;4.5
01382;Sainte-Olive;18.1;2;null;9.9
01383;Saint-Paul-de-Varax;16.5;11;null;4.5
01384;Saint-Rambert-en-Bugey;20.6;25;null;3
01385;Saint-Rémy;17.1;7;null;2.3
01386;Saint-Sorlin-en-Bugey;15.1;9;null;8
01387;Saint-Sulpice;9.4;3;null;4.6
01388;Saint-Trivier-de-Courtes;33.7;4;null;1.8
01389;Saint-Trivier-sur-Moignans;19.1;22;null;5.7
01390;Saint-Vulbas;15.4;26;null;5
01391;Salavre;32;4;null;3.6
01392;Samognat;13.8;5;null;3.5
01393;Sandrans;12.1;9;null;6.7
01396;Sault-Brénaz;21.7;6;null;2
01397;Sauverny;18;8;null;20.8
01398;Savigneux;11.6;11;null;6.2
01399;Ségny;12.4;18;null;21.8
01400;Seillonnaz;22.6;1;null;5.6
01401;Sergy;11.8;16;null;24.2
01402;Sermoyer;22.7;4;null;3.2
01403;Serrières-de-Briord;19.3;13;null;3.6
01404;Serrières-sur-Ain;26.9;1;null;4.7
01405;Servas;13.4;12;null;4.3
01406;Servignat;21.8;0;null;5.8
01407;Seyssel;18.4;15;null;8
01408;Simandre-sur-Suran;17.7;4;null;3.3
01410;Sonthonnax-la-Montagne;16.3;4;null;8.8
01411;Souclin;19;0;null;3.5
01412;Sulignat;15;2;null;5
01415;Talissieu;18.8;4;null;3.5
01416;Tenay;25.2;10;null;3.3
01418;Thil;14.9;15;null;14.9
01419;Thoiry;11.3;45;null;25.6
01420;Thoissey;26.5;18;null;3.4
01421;Torcieu;18.8;9;null;3
01422;Tossiat;18.8;12;null;6.3
01423;Toussieux;10.1;14;null;10.1
01424;Tramoyes;14.2;22;null;12.9
01425;La Tranclière;21;4;null;5.5
01426;Val-Revermont;16.1;18;null;6
01427;Trévoux;15;104;null;10.2
01428;Valeins;15.1;1;null;3.6
01429;Vandeins;15.5;7;null;3.5
01430;Varambon;14.4;4;null;5.9
01431;Vaux-en-Bugey;18.3;11;null;6.8
01432;Verjon;19.3;0;null;3.9
01433;Vernoux;9.7;3;null;2.8
01434;Versailleux;14;5;null;9.9
01435;Versonnex;12.3;18;null;17.9
01436;Vesancy;16.8;9;null;17
01437;Vescours;20.6;2;null;1.9
01439;Vésines;14.1;4;null;1.4
01441;Vieu-d'Izenave;13.7;8;null;3.6
01443;Villars-les-Dombes;21.3;56;null;6.7
01444;Villebois;18.5;13;null;4.8
01445;Villemotier;16.4;8;null;3.7
01446;Villeneuve;12.2;15;null;6
01447;Villereversure;23.7;4;null;3.9
01448;Villes;15.8;2;null;4.7
01449;Villette-sur-Ain;12.4;13;null;2.1
01450;Villieu-Loyes-Mollon;13.5;45;null;1.3
01451;Viriat;19.1;56;null;5.3
01452;Virieu-le-Grand;17.6;16;null;5.4
01453;Arvière-en-Valromey;22.1;6;null;4.7
01454;Virignin;13.7;11;null;5.8
01456;Vongnes;38;2;null;12.3
01457;Vonnas;22.1;26;null;2.9
02001;Abbécourt;17.4;2;null;3
02002;Achery;19.4;3;null;3.5
02003;Acy;19.6;4;null;4.1
02004;Agnicourt-et-Séchelles;19.2;1;null;4.2
02005;Aguilcourt;14.6;1;null;6.2
