nom,SIREN,type,code_region,code_departement
CC des Pays de L'Aigle,200068468,MET,28,61
CC des Pays du Sel et du Vermois,245400189,MET,44,54
CC des Paysages de la Champagne,200066850,MET,44,51
CC des Portes d'Ariège Pyrénées,200066231,MET,76,9
CC des Portes de l'Entre-deux-Mers,243301439,MET,75,33
CC des Portes de la Thiérache,240200634,MET,32,2
CC des Portes de Meuse,200066108,MET,44,55
CC des Portes de Romilly-sur-Seine,200000545,MET,44,10
CC des Portes de Rosheim,246700744,MET,44,67
CC des Portes de Sologne,200005932,MET,24,45
CC des Portes de Vassivière,248719353,MET,75,87
CC des Portes du Haut-Doubs,242504181,MET,27,25
CC des Portes du Luxembourg,240800847,MET,44,8
CC des Portes Euréliennes d'Île-de-France,200069953,MET,24,28
CC des Quatre Rivières,200069730,MET,28,
CC des Quatre Rivières,247000623,MET,27,70
CC des Quatre Rivières,247400666,MET,84,74
CC des Quatre Vallées,244500419,MET,24,45
CC des Rives du Haut-Allier,200073393,MET,84,43
CC des Sablons,246000582,MET,32,60
CC des Savanes,200027548,MET,3,973
CC des Savoir-Faire,200070332,MET,,
CC des Sept Vallées,200044030,MET,32,62
CC des Sorgues du Comtat,248400293,MET,93,84
CC des Sources de l'Orne,200035111,MET,28,61
CC des Sources du Lac d'Annecy,247400773,MET,84,74
CC des Sucs,244301016,MET,84,43
CC des Terres d'Apcher-Margeride-Aubrac,200069185,MET,76,48
CC des Terres d'Auxois,200071017,MET,27,21
CC des Terres du Lauragais,200071298,MET,76,31
CC des Terres du Val de Loire,200070183,MET,24,
CC des Trois Forêts,245200597,MET,44,52
CC des Trois Rivières,240200600,MET,32,2
CC des Vallées d'Aigueblanche,247300015,MET,84,73
CC des Vallées d'Auge et du Merlerault,200069458,MET,28,61
CC des Vallées de la Braye et de l'Anille,200072692,MET,52,72
CC des Vallées de la Tille et de l'Ignon,242100154,MET,27,21
CC des Vallées de Thônes,247400617,MET,84,74
CC des Vallées du Clain,200043628,MET,75,86
CC des Vallées du Haut-Anjou,200071868,MET,52,49
CC des Vallons du Lyonnais (CCVL),246900724,MET,84,69
CC des Vals d'Aix et Isable,244200614,MET,84,42
CC des Vals de Saintonge Communauté,200041689,MET,75,17
CC des Villes Sœurs,247600588,MET,,
CC des Vosges côté Sud Ouest,200068773,MET,44,88
CC des Vosges du Sud,200069060,MET,27,90
CC Dieulefit-Bourdeaux,242600492,MET,84,26
CC Dombes Saône Vallée,200042497,MET,84,1
CC Dômes Sancy Artense,200069169,MET,84,63
CC Domfront Tinchebray Interco,200071520,MET,28,61
CC Douarnenez Communauté,242900645,MET,53,29
CC Drôme Sud Provence,200042901,MET,84,26
CC Dronne et Belle,200041572,MET,75,24
