Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Médiane du niveau de vie 2018;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
248000531;CA Amiens Métropole;15.8;2078;200054781;20320;11.7
248000747;CC du Pays du Coquelicot;20.6;166;null;20640;3.3
248100158;CC du Sor et de l'Agout;21.9;246;248100430;21020;5.4
248100430;CA de Castres Mazamet;26.5;750;243100518;19560;5.7
248100497;CC Val 81;28.1;57;null;19530;3.8
248100737;CA de l'Albigeois (C2A);24.5;1030;243100518;21220;8.2
248100745;CC Thoré Montagne Noire;32;36;null;19240;2.7
248200016;CC des Deux Rives;23.7;131;null;19510;4
248200057;CC du Quercy Caussadais;25.8;168;null;19610;3.9
248200065;CC de la Lomagne Tarn-et-Garonnaise;28.3;110;null;19850;4.1
248200099;CA Grand Montauban;20.4;1059;243100518;20630;7.5
248200107;CC du Quercy Rouergue et des Gorges de l'Aveyron;31.5;111;null;18470;6.8
248300394;CA Sud Sainte-Baume;31.6;1074;248300543;24220;11.2
248300410;CC de la Vallée du Gapeau;21.2;441;248300543;23120;7
248300493;CA Dracénie Provence Verdon Agglomération;23.3;1549;200035319;20700;6.2
248300543;Métropole Toulon-Provence-Méditerranée;25.1;6485;200054807;21140;8.6
248300550;CC Cœur du Var;21.1;604;248300543;20740;4.7
248400053;CA Ventoux-Comtat-Venaissin (COVE);23.1;890;248400293;19710;6.7
248400160;CC Aygues-Ouvèze en Provence (CCAOP);19.5;225;248400236;21970;6.1
248400236;CC du Pays Réuni d'Orange;21;519;248400160;19570;5.8
248400251;CA du Grand Avignon (COGA);20;3126;248400293;19640;9.9
248400285;CC Territoriale Sud-Luberon;20.9;347;200054807;22480;11.1
248400293;CC des Sorgues du Comtat;19.9;682;248400251;20330;5.4
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;22.3;480;248400251;21710;8.6
248400335;CC Vaison Ventoux;29;177;null;20600;7.1
248500191;CC de l'Île de Noirmoutier;35.5;102;null;21760;4.9
248500258;CC Océan Marais de Monts;31.9;204;200071629;21300;3.9
248500340;CC Pays de Chantonnay;18;131;null;20700;3.1
248500415;CC du Pays de la Châtaigneraie;24.8;101;null;19660;2.2
248500464;CC du Pays de Pouzauges;19.9;131;null;20590;2.6
248500530;CC du Pays des Achards;17.6;164;null;21030;3.5
248500563;CC Vendée, Sèvre, Autise;23.7;113;200071934;20580;3.6
248500589;CA La Roche-sur-Yon Agglomération;18.6;910;244400404;21690;7.1
248500621;CC du Pays des Herbiers;17;240;null;21360;4.6
248500662;CC du Pays de Mortagne;19;178;null;21640;3.6
248600413;CA Grand Châtellerault;23.5;629;200069854;20450;4.7
248600447;CC du Pays Loudunais;25.6;135;null;19160;2.8
248700189;CC du Pays de Saint-Yrieix;31.6;96;248719312;20030;4.3
248719262;CC Gartempe - Saint-Pardoux;29.9;42;null;19250;3.4
248719288;CC du Val de Vienne;21.2;100;248719312;22540;6.5
248719312;CU Limoges Métropole;21.5;1991;200066512;21240;9.3
248719338;CC Briance-Combade;30;31;null;19620;3.2
248719353;CC des Portes de Vassivière;33.2;56;null;18920;5.4
248719361;CC de Noblat;25.6;98;null;20720;5.3
248900334;CA du Grand Sénonais;22.7;655;248900896;20370;5.8
248900383;CC de l'Agglomération Migennoise;21.4;70;200067114;19030;2.2
248900524;CC de l'Aillantais;21.9;84;null;21970;4.8
248900664;CC de la Vanne et du Pays d'Othe;24.8;56;null;20910;3.8
248900748;CC du Gâtinais en Bourgogne;20.3;144;248900334;22130;4
248900896;CC Yonne Nord;19.8;201;248900334;21870;3.6
248900938;CC du Jovinien;23.1;180;248900383;19860;4.6
249000241;CC du Sud Territoire;19.8;176;200065647;22870;4.1
249100074;CC du Pays de Limours (CCPL);16.6;302;200054781;29700;17.5
249100157;CC des Deux Vallées;20.6;217;null;26130;8
249100546;CC du Val d'Essonne (CCVE);16.1;688;200059228;26270;9.7
249100553;CC Entre Juine et Renarde (CCEJR);17.6;279;200057859;27060;9.3
249100595;CC Le Dourdannais en Hurepoix (CCDH);17.6;269;null;25050;10.4
249500109;CA de Cergy-Pontoise;10.4;3807;200054781;21880;12
249500430;CC Sausseron Impressionnistes;17.9;256;null;28220;12.4
249500455;CC de la Vallée de l'Oise et des Trois Forêts;17.1;513;200058485;26840;11.6
249500489;CC du Haut Val d'Oise;12.2;506;200067973;21470;5.4
249500513;CC du Vexin-Val de Seine;17.3;173;null;24430;7.9
249710047;CC de Marie-Galante;24;99;null;N/A;3
249710062;CA du Nord Basse-Terre;16.3;955;200018653;N/A;6.1
249710070;CA Grand Sud Caraïbe;20.8;722;200018653;N/A;4.4
249720053;CA de l'Espace Sud de la Martinique;19.2;1210;249720061;18080;5.6
249720061;CA du Centre de la Martinique;19.3;1862;249720053;19130;8.8
249730037;CC de l'Ouest Guyanais;2.6;188;249730045;N/A;3.4
249730045;CA du Centre Littoral;7.2;1469;200054781;N/A;6.9
249730052;CC de l'Est Guyanais;3.9;16;null;N/A;2.6
249740077;CA CIVIS (Communauté Intercommunale des VIlles Solidaires);11.4;1780;249740085;15140;5
249740085;CA du Sud;12.5;1025;249740077;14470;3
249740093;CA Intercommunale de la Réunion Est (CIREST);9.8;956;249740119;13680;3
249740101;CA Territoire de la Côte Ouest (TCO);10.7;2328;249740119;16300;6.2
249740119;CA Intercommunale du Nord de la Réunion (CINOR);11.4;2189;249740093;16930;8
