Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Médiane du niveau de vie 2018;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
200044048;CC Osartis Marquion;17.6;276;200033579;21620;4.5
200044253;CC du Bassin de Joinville en Champagne;25.3;60;null;18840;2.8
200044394;CC du Réolais en Sud Gironde;23.3;224;243300316;19110;3.9
200044469;CC du Pays de Mirepoix;25.7;120;null;19340;6
200044618;CA Douaisis Agglo;18;1155;245901152;19110;5.2
200044691;CA du Nord Grande Terre;19.2;619;200018653;N/A;3.1
200046977;Métropole de Lyon;16.2;28918;200054781;22480;18.1
200048551;CC du Pays de Craon;21.7;150;200083392;20020;2.6
200049187;CA du Grand Verdun;20.7;173;200066165;20200;5.2
200049211;CC Conflent-Canigó;29.3;200;null;18460;6.4
200049484;CC Berry Grand Sud;32.9;70;null;19030;3.3
200050532;CC de Petite-Terre;N/A;170;null;N/A;N/A
200054781;Métropole du Grand Paris;14.7;175339;200058519;23540;24.8
200054807;Métropole d'Aix-Marseille-Provence;19.7;31158;200054781;21480;12.3
200055481;CC Beauce Val de Loire;21.5;142;200030385;21650;4.2
200055655;CA Roissy Pays de France;11.5;5745;200054781;19180;5.5
200055887;CC Mayenne Communauté;21;193;200083392;21250;4
200056232;CA Communauté Paris-Saclay;15;5078;200054781;26460;21.5
200056380;CA Plaine Vallée;15.8;2979;200054781;24730;14.4
200057859;CA Cœur d'Essonne Agglomération;14.3;2656;200054781;23930;10.1
200057958;CA Paris - Vallée de la Marne;12.7;3600;200054781;22650;9.5
200058360;CC Entre Beauce et Perche;18.6;140;200033181;22510;3.7
200058477;CA Val d'Yerres Val de Seine;16;2514;200054781;23620;11.6
200058485;CA Val Parisis;14.7;4253;200054781;24580;12.1
200058519;CA Saint-Germain Boucles de Seine;16.7;5651;200054781;29200;26.2
200058782;CA de Saint-Quentin-en-Yvelines;12.7;3591;200054781;24680;16.5
200059228;CA Grand Paris Sud Seine Essonne Sénart;11.1;5849;200054781;20850;8.9
200059392;CC Bièvre Isère;19.2;605;243800604;21930;5
200059400;CC Porte Océane du Limousin;26.7;189;248719312;21020;3.8
200059871;CC du Centre-Ouest;N/A;289;null;N/A;N/A
200059889;CU Grand Paris Seine et Oise;15;6360;200054781;22770;11.3
200060010;CA Mauges Communauté;17.5;670;200071678;20870;3
200060457;CA Dembeni-Mamoudzou;N/A;462;null;N/A;N/A
200060465;CA du Grand Nord de Mayotte;N/A;260;null;N/A;N/A
200060473;CC du Sud;N/A;171;null;N/A;N/A
200065563;CC Normandie-Cabourg-Pays d'Auge;26.3;357;200065597;22400;6.5
200065589;CC Val ès Dunes;15.7;138;200065597;21680;4.3
200065597;CU Caen la Mer;18.3;3593;200054781;21730;11.5
200065647;CA Pays de Montbéliard Agglomération;21.7;1105;200069052;20730;5.5
200065787;CC de Pont-Audemer / Val de Risle;19.4;223;200023414;20820;4.2
