Exercice;Outre-mer;Code Insee 2020 Région;Nom 2020 Région;Code Insee 2020 Département;Nom 2020 Département;Strate population 2020;Nature juridique 2020 abrégée;Mode de financement 2020 abrégé;Tranche revenu par habitant;Présence QPV;Code Siren 2020 EPCI;Nom 2020 EPCI;Catégorie;Code Siren Collectivité;Libellé Budget;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2019 disponible;agregat_niveau;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;Remarque;ordre_affichage
2019;Non;84;Auvergne-Rhône-Alpes;03;Allier;2;CC;FPU;1;Non;200071470;CC Entr'Allier Besbre et Loire;GFP;200071470;CC ENTR'ALLIER BESBRE ET LOIRE;Dépenses totales;5915481.23;5.91548123;25763;229.61150603578778;1;1;;1;;;;;;;;;NA;
2019;Non;84;Auvergne-Rhône-Alpes;03;Allier;0;CC;FPU;1;Non;200071496;CC du Bocage Bourbonnais;GFP;200071496;CC DU BOCAGE BOURBONNAIS;Dépenses totales;3280248.93;3.28024893;14123;232.26289952559657;1;1;;1;;;;;;;;;NA;
2019;Non;28;Normandie;61;Orne;0;CC;FPU;1;Non;200071504;CC des Collines du Perche Normand;GFP;200071504;CC COLLINES DU PERCHE NORMAND;Dépenses totales;8962320.39;8.96232039;12989;689.9931010855339;1;1;;1;;;;;;;;;NA;
2019;Non;84;Auvergne-Rhône-Alpes;03;Allier;2;CC;FPU;1;Non;200071512;CC Commentry Montmarault Néris Communauté;GFP;200071512;CC COMMENTRY MONTMARAULT NERIS COMMUNAUT;Dépenses totales;6897934.2;6.8979342;26995;255.52636414150768;1;1;;1;;;;;;;;;NA;
2019;Non;28;Normandie;61;Orne;1;CC;FPU;1;Non;200071520;CC Domfront Tinchebray Interco;GFP;200071520;CC DOMFRONT-TINCHEBRAY-INTERC;Dépenses totales;13312743.61;13.31274361;16530;805.3686394434361;1;1;;1;;;;;;;;;NA;
2019;Non;27;Bourgogne-Franche-Comté;71;Saône-et-Loire;1;CC;FPU;1;Non;200071538;CC Terres de Bresse;GFP;200071538;CC TERRES DE BRESSE;Dépenses totales;3750180.95;3.7501809500000003;22628;165.7318786459254;1;1;;1;;;;;;;;;NA;
2019;Non;52;Pays de la Loire;44;Loire-Atlantique;2;CC;FPU;1;Non;200071546;CC Sud Retz Atlantique;GFP;200071546;CC SUD RETZ ATLANTIQUE - CCSRA;Dépenses totales;14192129.92;14.19212992;29915;474.41517365869964;1;1;;1;;;;;;;;;NA;
2019;Non;52;Pays de la Loire;49;Maine-et-Loire;3;CC;FPU;1;Non;200071553;CC Loire Layon Aubance;GFP;200071553;CC LOIRE LAYON AUBANCE;Dépenses totales;36636595.03;36.63659503;57576;636.3171291857718;1;1;;1;;;;;;;;;NA;
2019;Non;27;Bourgogne-Franche-Comté;71;Saône-et-Loire;2;CC;FPU;1;Non;200071579;CC Bresse Louhannaise Intercom';GFP;200071579;CC BRESSE LOUHANNAISE INTERCOM;Dépenses totales;15331435.53;15.331435529999998;29196;525.1210963830662;1;1;;1;;;;;;;;;NA;
2019;Non;24;Centre-Val de Loire;37;Indre-et-Loire;3;CC;FPU;1;Non;200071587;CC Loches Sud Touraine;GFP;200071587;CC LOCHES SUD TOURAINE;Dépenses totales;36862782.51;36.862782509999995;53945;683.340115117249;1;1;;1;;;;;;;;;NA;
2019;Non;27;Bourgogne-Franche-Comté;39;Jura;1;CC;FPU;1;Non;200071595;CC Arbois,Poligny,Salins,Cœur du Jura;GFP;200071595;CC ARBOIS POLIGNY SALINS COEUR DU JURA;Dépenses totales;12676577.75;12.67657775;23142;547.7736474807709;1;1;;1;;;;;;;;;NA;
2019;Non;52;Pays de la Loire;85;Vendée;2;CC;FPU;1;Non;200071629;CC Challans-Gois Communauté;GFP;200071629;CC CHALLANS-GOIS-COMMUNAUTE;Dépenses totales;19099412.26;19.09941226;47368;403.2133984968756;1;1;;1;;;;;;;;;NA;
2019;Non;27;Bourgogne-Franche-Comté;71;Saône-et-Loire;0;CC;FPU;1;Non;200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;GFP;200071645;CC ST CYR MERE BOITIER CHAROLAIS MACONNA;Dépenses totales;4633098.28;4.6330982800000005;8195;565.3567150701648;1;1;;1;;;;;;;;;NA;
2019;Non;28;Normandie;61;Orne;0;CC;FA;1;Non;200071652;CC du Pays Fertois et du Bocage Carrougien;GFP;200071652;CC PAYS-FERTOIS- BOCAGE-CARROUGIEN;Dépenses totales;2666781.51;2.66678151;5114;521.4668576456785;1;1;;1;;;;;;;;;NA;
2019;Non;52;Pays de la Loire;49;Maine-et-Loire;4;CA;FPU;1;Oui;200071678;CA du Choletais;GFP;200071678;CA AGGLOMERATION DU CHOLETAIS;Dépenses totales;101014042.76;101.01404276000001;106711;946.6132147576164;1;1;;1;;;;;;;;;NA;
2019;Non;84;Auvergne-Rhône-Alpes;01;Ain;4;CA;FPU;1;Oui;200071751;CA du Bassin de Bourg-en-Bresse;GFP;200071751;CA BASSIN DE BOURG EN BRESSE;Dépenses totales;126564168.37;126.56416837;136014;930.5230959313012;1;1;;1;;;;;;;;;NA;
2019;Non;32;Hauts-de-France;02;Aisne;1;CC;FPU;1;Non;200071769;CC Picardie des Châteaux;GFP;200071769;CC PICARDIE DES CHATEAUX;Dépenses totales;5616461.89;5.61646189;17759;316.26003097021226;1;1;;1;;;;;;;;;NA;
2019;Non;44;Grand Est;10;Aube;0;CC;FA;1;Non;200071777;CC d'Arcis,Mailly,Ramerupt;GFP;200071777;CC ARCIS MAILLY RAMERUPT;Dépenses totales;6145668.24;6.14566824;11781;521.6593022663611;1;1;;1;;;;;;;;;NA;
2019;Non;32;Hauts-de-France;02;Aisne;3;CA;FPU;1;Oui;200071785;CA Chauny-Tergnier-La Fère;GFP;200071785;CA CHAUNY TERGNIER LA FERE;Dépenses totales;25983886.98;25.98388698;57077;455.24268934947526;1;1;;1;;;;;;;;;NA;
2019;Non;75;Nouvelle-Aquitaine;24;Dordogne;1;CC;FPU;1;Non;200071819;CC du Périgord Nontronnais;GFP;200071819;CC PERIGORD NONTRONNAIS;Dépenses totales;13403366.43;13.40336643;15700;853.7176070063695;1;1;;1;;;;;;;;;NA;
2019;Non;75;Nouvelle-Aquitaine;16;Charente;4;CA;FPU;1;Oui;200071827;CA du Grand Angoulême;GFP;200071827;CA GRAND ANGOULEME;Dépenses totales;164103734.34;164.10373434000002;147950;1109.1837400473132;1;1;;1;;;;;;;;;NA;
2019;Non;28;Normandie;27;Eure;2;CC;FPU;1;Non;200071843;CC du Vexin Normand;GFP;200071843;CC DU VEXIN NORMAND;Dépenses totales;13327410.01;13.32741001;33047;403.2865316064998;1;1;;1;;;;;;;;;NA;
2019;Non;24;Centre-Val de Loire;45;Loiret;2;CC;FPU;1;Non;200071850;CC du Pithiverais-Gâtinais;GFP;200071850;CC DU PITHIVERAIS GATINAIS;Dépenses totales;15282190.16;15.28219016;26665;573.1179508719295;1;1;;1;;;;;;;;;NA;
2019;Non;52;Pays de la Loire;49;Maine-et-Loire;2;CC;FPU;1;Non;200071868;CC des Vallées du Haut-Anjou;GFP;200071868;CC VALLEES DU HAUT-ANJOU;Dépenses totales;24091980.57;24.09198057;36918;652.5808703071673;1;1;;1;;;;;;;;;NA;
